#######################;;;;;;;;;;;X
# muster;;;;;;;;;;;X
#######################;;;;;;;;;;;X
# Majors;;;;;;;;;;;X
# England;;;;;;;;;;;X
# England land brigades;;;;;;;;;;;X
BRIG_MODEL_ENG_1_0;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_1_1;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_1_2;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_1_3;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_1_4;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_1_5;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_1_6;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_2_0;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_2_1;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_2_2;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_2_3;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_2_4;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_2_5;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_2_6;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_6_0;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_6_1;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_6_2;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_6_3;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_6_4;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_6_5;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_6_6;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_6_7;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_7_0;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_7_1;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_7_2;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_8_0;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_8_1;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_8_2;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_9_0;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_9_1;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_10_0;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_10_1;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_10_2;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_10_3;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_10_8;;.;.;.;.;.;.;.;.;;X
# England air brigades;;;;;;;;;;;X
BRIG_MODEL_ENG_14_0;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_14_1;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_14_2;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_14_3;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_14_4;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_14_5;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_14_9;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_15_0;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_15_1;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_15_2;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_15_3;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_15_4;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_15_5;;.;.;.;.;.;.;.;.;;X
BRIG_MODEL_ENG_15_6;;.;.;.;.;.;.;.;.;;X
# England land units;;;;;;;;;;;X
MODEL_ENG_5_0;FV4030/4 Challenger 1;.;.;.;.;.;.;.;.;;X
MODEL_ENG_5_1;FV4034 Challenger 2;.;.;.;.;.;.;.;.;;X
# England air units;;;;;;;;;;;X
