##  STRING NAME (do not change!);;;;;;;;;;;X
## ;;;;;;;;;;;X
##  Technology System Techs below here..;;;;;;;;;;;X
##;;;;;;;;;;;X
RT_ARTILLERY;Artillery;.;.;.;.;.;.;.;.;.;X
RT_MECHANICS;Mechanics;.;.;.;.;.;.;.;.;.;X
RT_ELECTRONICS;Electronics;.;.;.;.;.;.;.;.;.;X
RT_CHEMISTRY;Chemistry;.;.;.;.;.;.;.;.;.;X
RT_TRAINING;Training;.;.;.;.;.;.;.;.;.;X
RT_GENERAL_EQUIPMENT;General Equipment;.;.;.;.;.;.;.;.;.;X
RT_ROCKETRY;Rocketry;.;.;.;.;.;.;.;.;.;X
RT_NAVAL_ENGINEERING;Naval Engineering;.;.;.;.;.;.;.;.;.;X
RT_AERONAUTICS;Aeronautics;.;.;.;.;.;.;.;.;.;X
RT_NUCLEAR_PHYSICS;Nuclear Physics;.;.;.;.;.;.;.;.;.;X
RT_NUCLEAR_ENGINEERING;Nuclear Engineering;.;.;.;.;.;.;.;.;.;X
RT_MANAGEMENT;Management;.;.;.;.;.;.;.;.;.;X
RT_INDUSTRIAL_ENGINEERING;Industrial Engineering;.;.;.;.;.;.;.;.;.;X
RT_MATHEMATICS;Mathematics;.;.;.;.;.;.;.;.;.;X
RT_SMALL_UNIT_TACTICS;Small Unit Tactics;.;.;.;.;.;.;.;.;.;X
RT_LARGE_UNIT_TACTICS;Large Unit Tactics;.;.;.;.;.;.;.;.;.;X
RT_CENTRALIZED_EXECUTION;Centralized Execution;.;.;.;.;.;.;.;.;.;X
RT_DECENTRALIZED_EXECUTION;Decentralized Execution;.;.;.;.;.;.;.;.;.;X
RT_TECHNICAL_EFFICIENCY;Technical Efficiency;.;.;.;.;.;.;.;.;.;X
RT_INDIVIDUAL_COURAGE;Individual Courage;.;.;.;.;.;.;.;.;.;X
RT_INFANTRY_FOCUS;Infantry Focus;.;.;.;.;.;.;.;.;.;X
RT_COMBINED_ARMS_FOCUS;Combined Arms Focus;.;.;.;.;.;.;.;.;.;X
RT_LARGE_UNIT_FOCUS;Large Unit Focus;.;.;.;.;.;.;.;.;.;X
RT_NAVAL_ARTILLERY;Naval Artillery;.;.;.;.;.;.;.;.;.;X
RT_NAVAL_TRAINING;Naval Training;.;.;.;.;.;.;.;.;.;X
RT_AIRCRAFT_TESTING;Aircraft Testing;.;.;.;.;.;.;.;.;.;X
RT_FIGHTER_TACTICS;Fighter Tactics;.;.;.;.;.;.;.;.;.;X
RT_BOMBER_TACTICS;Bomber Tactics;.;.;.;.;.;.;.;.;.;X
RT_LARGE_TASKFORCE_TACTICS;Large Task force Tactics;.;.;.;.;.;.;.;.;.;X
RT_SMALL_TASKFORCE_TACTICS;Small Task force Tactics;.;.;.;.;.;.;.;.;.;X
