#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;;;;;;;;;;;X
########################################;;;;;;;;;;;X
#  Division Description;;;;;;;;;;;X
########################################;;;;;;;;;;;X
NAME_INFANTRY;Infantry Division;.;.;.;.;.;.;.;.;.;X
NAME_BRIGADE;Infantry Brigade;.;.;.;.;.;.;.;.;.;X
NAME_SPECIAL_FORCES;Special Forces;.;.;.;.;.;.;.;.;.;X
NAME_CAVALRY;Armored Cavalry;.;.;.;.;.;.;.;.;.;X
NAME_AIR_CAVALRY;Air Cavalry;.;.;.;.;.;.;.;.;.;X
NAME_MOTORIZED;Motorized Infantry Division;.;.;.;.;.;.;.;.;.;X
NAME_MOT_BRIGADE;Motorized Infantry Brigade;.;.;.;.;.;.;.;.;.;X
NAME_MECHANIZED;Mechanized Infantry Division;.;.;.;.;.;.;.;.;.;X
NAME_MECHANIZED_BRIGADE;Mechanized Brigade;.;.;.;.;.;.;.;.;.;X
NAME_LIGHT_ARMOR_BRI;Armored Personnel Carrier;.;.;.;.;.;.;.;.;.;X
NAME_ARMOR;Main Battle Tank Division;.;.;.;.;.;.;.;.;.;X
NAME_PARATROOPER;Airborne Division;.;.;.;.;.;.;.;.;.;X
NAME_MARINE;Marine Division;.;.;.;.;.;.;.;.;.;X
NAME_MARINE_BRIGADE;Marine Brigade;.;.;.;.;.;.;.;.;.;X
NAME_BERGSJAEGER;Mountain Division;.;.;.;.;.;.;.;.;.;X
NAME_MILITIA;Militia;.;.;.;.;.;.;.;.;.;X
NAME_GARRISON;Garrison;.;.;.;.;.;.;.;.;.;X
NAME_HQ;HQ;.;.;.;.;.;.;.;.;.;X
NAME_FIGHTER;Fighters;.;.;.;.;.;.;.;.;.;X
NAME_INTERCEPTOR;Air Superiority Fighters;.;.;.;.;.;.;.;.;.;X
NAME_MULTI_ROLE;Multi-Role Fighters;.;.;.;.;.;.;.;.;.;X
NAME_ESCORT;Naval Patrol;.;.;.;.;.;.;.;.;.;X
NAME_STRATEGIC_BOMBER;Strategic Bombers;.;.;.;.;.;.;.;.;.;X
NAME_TACTICAL_BOMBER;Strike Bomber;.;.;.;.;.;.;.;.;.;X
NAME_NAVAL_BOMBER;Naval Patrol;.;.;.;.;.;.;.;.;.;X
NAME_TRANSPORT_PLANE;Transport Planes;.;.;.;.;.;.;.;.;.;X
NAME_BATTLESHIP;Aircraft Cruiser;.;.;.;.;.;.;.;.;.;X
NAME_LIGHT_CRUISER;Frigate;.;.;.;.;.;.;.;.;.;X
NAME_HEAVY_CRUISER;Cruiser;.;.;.;.;.;.;.;.;.;X
NAME_BATTLECRUISER;Helicopter Carrier;.;.;.;.;.;.;.;.;.;X
