##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
NAME_JAGER;Jäger;;Jäger;;Jäger;;;;;;X
SNAME_JAGER;Jg Div;;Jg Div;;Jg Div;;;;;;X
SDESC_JAGER;Jägerdivision;Jägerdivision;;;Jägerdivision;;;;;;X
LDESC_JAGER;"Jäger is a German military term adopted during the Age of Enlightenment in German-speaking states to describe elite light infantry,The military usage of Jäger, which literally means ""hunter"" in German, is similar to that of Schütze, which literally means ""shooter"". After the First World War, the Jäger units of the Imperial German Army were disbanded, but their traditions were carried by infantry regiments of the 100,000-man Reichswehr of the Weimar Republic. After the Nazis came to power in 1933 and the rearmament of Germany began, the new Wehrmacht revived the name Jäger for various types of units.";;;;;;;;;;X
NAME_HILFSKREUZER;Hilfskreuzer;;Hilfskreuzer;;Hilfskreuzer;;;;;;X
SNAME_HILFSKREUZER;HSK;;HSK;;HSK;;;;;;X
SDESC_HILFSKREUZER;Armed merchant cruisers;Armed merchant cruisers;;;Armed merchant cruisers;;;;;;X
LDESC_HILFSKREUZER;The Armed merchant cruisers were made by requisitioning large ships and providing them with guns and other equipment. They ranged from 6,000–22,000 long tons (6,100–22,000 t). The armament varied but six 6 in (150 mm) guns with 3 in (76 mm) guns as secondary was usual. From 1941, many served as troopships.;;;;;;;;;;X
MODEL_65_0;Hilfskreuzer;Hilfskreuzer;;;Hilfskreuzer;;;;;;X
NAME_SAS;Special Air Service;;Special Air Service;;Special Air Service;;;;;;X
SNAME_SAS;SAS Reg;;SAS Reg;;SAS Reg;;;;;;X
SDESC_SAS;Special Air Service Regiment;Special Air Service Regiment;;;Special Air Service Regiment;;;;;;X
LDESC_SAS;The Special Air Service was a unit of the British Army during the Second World War, formed in July 1941 by David Stirling. It was conceived as a commando force to operate behind enemy lines in the North African Campaign and initially consisted of five officers and 60 other ranks. Its first mission, in November 1941, was a parachute drop in support of the Operation Crusader offensive. Due to German resistance and adverse weather conditions, the mission was a disaster: 22 men, a third of the unit, were killed or captured. Its second mission was a success: transported by the Long Range Desert Group, it attacked three airfields in Libya, destroying 60 aircraft without loss.;;;;;;;;;;X
NAME_CAPTURED;Captured Equipment;;Captured Equipment;;Captured Equipment;;;;;;X
SNAME_CAPTURED;Cap Equ;;Cap Equ;;Cap Equ;;;;;;X
SDESC_CAPTURED;Captured Equipment;Captured Equipment;;;Captured Equipment;;;;;;X
LDESC_CAPTURED;Captured Equipment;;;;;;;;;;X
MODEL_62_0;Captured Equipment;Captured Equipment;;;Captured Equipment;;;;;;X
NAME_SOVIETARM;Guards-Tank-Division;;Guards-Tank-Division;;Guards-Tank-Division;;;;;;X
SNAME_SOVIETARM;Guard ARM;;Guard ARM;;Guard ARM;;;;;;X
SDESC_SOVIETARM;Guards-Tank-Division;Guards-Tank-Division;;;Guards-Tank-Division;;;;;;X
LDESC_SOVIETARM;The Guards units were again awarded to units and formations which distinguishing themselves during the second world war by the order of People's Commissar for Defence of USSR No.303 on the 18 September 1941, and were considered to have elite status. However, the Guards badge was not introduced until 21 May 1943. There were total 11 Guard Armies and 6 Guard Tank Armies.;;;;;;;;;;X
NAME_SOVIETGUARD;Soviet-Guard-Division;;Soviet-Guard-Division;;Soviet-Guard-Division;;;;;;X
SNAME_SOVIETGUARD;Guard Inf;;Guard Inf;;Guard Inf;;;;;;X
SDESC_SOVIETGUARD;Soviet-Guard-Division;Soviet-Guard-Division;;;Soviet-Guard-Division;;;;;;X
LDESC_SOVIETGUARD;The Guards units were again awarded to units and formations which distinguishing themselves during the second world war by the order of People's Commissar for Defence of USSR No.303 on the 18 September 1941, and were considered to have elite status. However, the Guards badge was not introduced until 21 May 1943. There were total 11 Guard Armies and 6 Guard Tank Armies.;;;;;;;;;;X
NAME_FROGMEN;Frogmen;Frogmen;;;Frogmen;;;;;;X
