#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
#  STRING NAME (do not change!);;;;;;;;;;;X
restore_warsaw_pact;Restore the Warsaw Pact;;;;;;;;;;X
restore_warsaw_pact_desc;Beginning in the late 1970s, the Soviets carefully noted that one of the Warsaw Pact's most important functions was monitoring the ''fraternal countries and the fulfillment of their duties in the joint defense of socialism''. When forces that are hostile to socialism try to turn the development of some socialist country towards capitalism, it becomes not only a problem of the country concerned, but a common problem and concern of all socialist countries. That is, no country could leave the Warsaw Pact or disturb a ruling communist party's monopoly on power.;;;;;;;;;;X
diplomatic_campaign;Launch Diplomatic Campaign;;;;;;;;;;X
diplomatic_campaign_desc;We can launch a diplomatic campaign to improve relations with the other Great Powers.;;;;;;;;;;X
invest_national_industry;Invest in National Industry;;;;;;;;;;X
invest_national_industry_desc;We can invest in the building of factories and industrial production output.;;;;;;;;;;X
invest_national_industry_2_desc;This is the result of our investment.;;;;;;;;;;X
aggregate_demand_increases;Aggregate Demand Increases;;;;;;;;;;X
aggregate_demand_increases_desc;Lower interest rates give a smaller return from saving. This lower incentive to save will encourage consumers to spend rather than hold onto money and also firms to take out loans to finance greater spending and investment.;;;;;;;;;;X
high_interest_rates_slows_growth;High Interest Rates slows growth;;;;;;;;;;X
high_interest_rates_slows_growth_desc;Although high interest rates can control inflation, it leads companies to invest their money in the financial market instead of investing in the expansion of production.;;;;;;;;;;X
consumer_goods_shortage_desc;A shortage of a certain item does not necessarily mean that the item is not being produced, rather, it means that the amount of the good demanded exceeds the amount supplied at a given price. This may be caused by a government enforced low price or by the high supply of money which encourages consumers to demand a higher amount than is supplied.;;;;;;;;;;X
government_falls;Our Government Falls;;;;;;;;;;X
government_falls_desc;The mismanagement of our government has led to a dramatic change in the political scenery of the country!;;;;;;;;;;X
incomes_policy_3;Incomes Policy decreases Inflation;;;;;;;;;;X
incomes_policy_3_desc;Our Incomes Policy of wages and prices control has decreased inflation!;;;;;;;;;;X
incomes_policy_2;Revoke Incomes Policy;;;;;;;;;;X
incomes_policy_2_desc;We can revoke the wages and prices control.;;;;;;;;;;X
incomes_policy;Enact Incomes Policy;;;;;;;;;;X
incomes_policy_desc;In general, wage and price controls are regarded as a temporary and exceptional measure, only effective when coupled with policies designed to reduce the underlying causes of inflation during the wage and price control regime, for example, winning the war being fought. They often have perverse effects, due to the distorted signals they send to the market. Artificially low prices often cause rationing and shortages and discourage future investment, resulting in yet further shortages.;;;;;;;;;;X
money_supply_decreases;Money Supply Decreases;;;;;;;;;;X
money_supply_decreases_desc;Our high interest rates has slowed the growth of money supply. Higher interest rates reduce the amount of money because fewer people seek loans, and loans are usually made with new money. When banks make loans, they usually first create new money, then lend it. A central bank usually creates money lent to a national government. Therefore, when a person pays back a loan, the bank destroys the money and the quantity of money falls.;;;;;;;;;;X
launch_major_crackdown;Launch Major Crackdown;;;;;;;;;;X
launch_major_crackdown_desc;We can launch a major crackdown to reduce dissent and thwart the enemies of the state.;;;;;;;;;;X
launch_major_crackdown_1_desc;We can launch another major crackdown.;;;;;;;;;;X
