Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
 ''From Stettin in the Baltic to Trieste in the Adriatic, an iron curtain has descended across the continent.'';Winston Churchill, March 5, 1946.;;;;;;;;;;;;;;
 ''People of this world, look upon this city and see that you should not and cannot abandon this city and this people.'';Ernst Reuter, Mayor of West Berlin during the Berlin blockade, September 9, 1948.;;;;;;;;;;;;;;
 ''In the simplest of terms, what we are doing in Korea is this: We are trying to prevent a third world war.'';Harry S. Truman, April 16, 1951.;;;;;;;;;;;;;;
 ''If you don’t like us, don’t accept our invitations and don’t invite us to come to see you. Whether you like it or not, history is on our side. We will bury you.'';Nikita Khrushchev, November 18, 1956.;;;;;;;;;;;;;;
 ''The Earth is blue… how wonderful. It is amazing'';Yuri Gagarin, April 12, 1961 (during his space flight).;;;;;;;;;;;;;;
 ''Nobody intends to put up a wall!'';Walter Ulbricht, Leader of the GDR, June 15, 1961 – 2 months before the Berlin Wall was erected.;;;;;;;;;;;;;;
 ''A wall is a hell of a lot better than a war.'';John F. Kennedy, August 1961 (on the construction of the Berlin Wall).;;;;;;;;;;;;;;
 ''I am a Marxist-Leninist and I will be one until the last day of my life.'';Fidel Castro, December 2, 1961.;;;;;;;;;;;;;;
 ''Berlin is the testicles of the West, every time I want the West to scream, I squeeze on Berlin.'';Nikita Khrushchev, 1962.;;;;;;;;;;;;;;
 ''...Ich bin ein Berliner.'';John F. Kennedy, June 26, 1963.;;;;;;;;;;;;;;
 ''[Communism] has never come to power in a country that was not disrupted by war or internal corruption or both.'';John F. Kennedy, July 1963.;;;;;;;;;;;;;;
 ''The survivors (of a nuclear war) would envy the dead.'';Nikita Khrushchev, July 20, 1963.;;;;;;;;;;;;;;
 ''If you (the USA) start throwing hedgehogs under me, I shall throw a couple of porcupines under you.'';Nikita Khrushchev, November 7, 1963.;;;;;;;;;;;;;;
 ''You may not be interested in war, but war is interested in you.'';Leon Trotsky;;;;;;;;;;;;;;
 ''We are not going to send American boys nine or ten thousand miles away from home to do what Asian boys ought to be doing for themselves.'';Lyndon B. Johnson, October 21, 1964 on US involvement in the Vietnam War.;;;;;;;;;;;;;;
 ''A man may die, nations may rise and fall, but an idea lives on.'';John F. Kennedy, December 14, 1962.;;;;;;;;;;;;;;
 ''Mankind must put an end to war or war will put an end to mankind.'';John F. Kennedy.;;;;;;;;;;;;;;
 ''You can make a throne of bayonets but you can't sit on it for long.'';Boris Yeltsin.;;;;;;;;;;;;;;
 ''When the president does it, that means that it is not illegal.'';Richard Nixon, May 19, 1977.;;;;;;;;;;;;;;
 ''History does not long entrust the care of freedom to the weak, or the timid.'';Dwight D. Eisenhower.;;;;;;;;;;;;;;
 ''Whether you like it or not, history is on our side. We will dig you in.'';Nikita Krutschev;;;;;;;;;;;;;;
 ''Politics is war without bloodshed, while war is politics with bloodshed.'';Mao Zedong;;;;;;;;;;;;;;
 ''The more people you kill, the more revolutionary you are. '';Mao Zedong;;;;;;;;;;;;;;
 ''Without an army for the people, there is nothing for the people.'';Mao Zedong;;;;;;;;;;;;;;
 ''No revolution is worth anything unless it can defend itself.'';Vladimir Lenin;;;;;;;;;;;;;;
 ''Pacifism, the preaching of peace in the abstract, is one of the means of duping the working class.'';Vladimir Lenin;;;;;;;;;;;;;;
 ''History repeats itself, first as tragedy, second as farce.'';Karl Marx;;;;;;;;;;;;;;
 ''The death of one man is a tragedy. The death of millions is a statistic.'';Kurt Tucholsky;;;;;;;;;;;;;;
 ''Death solves all problems - no man, no problem.'';Anatoly Rybakov;;;;;;;;;;;;;;
 ''In the Soviet army it takes more courage to retreat than advance.'';Joseph Stalin;;;;;;;;;;;;;;
 ''If the opposition disarms, well and good. If it refuses to disarm, we shall disarm it ourselves.'';Joseph Stalin;;;;;;;;;;;;;;
 ''Under Lenin the Soviet Union was like a religious revival, under Stalin like a prison, under Khrushchev like a circus, and under Brezhnev like the U.S. Post Office.'';Jimmy Carter, November 7, 1977.;;;;;;;;;;;;;;
 ''Politicians are the same all over. They promise to build a bridge even where there is no river.'';Nikita Khrushchev;;;;;;;;;;;;;;
 ''Regimes planted by bayonets do not take root.'';Ronald Reagan, June 8, 1982.;;;;;;;;;;;;;;
 ''I like Mr Gorbachev, we can do business together.'';Margaret Thatcher commenting on the new Soviet leader, December 17, 1984.;;;;;;;;;;;;;;
 ''Mr Gorbachev, tear down this wall!'';Ronald Reagan, June 12, 1987.;;;;;;;;;;;;;;
 ''The threat of a world war is no more.'';Mikhail Gorbachev, farewell speech signifying the end of the USSR and the Cold War, December 1991.;;;;;;;;;;;;;;
 ''By the grace of God, America won the cold war.'';George Bush, Snr., January 28, 1992.;;;;;;;;;;;;;;
 ''I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.'';Albert Einstein;;;;;;;;;;;;;;
 ''Technological progress is like an axe in the hands of a pathological criminal.'';Albert Einstein;;;;;;;;;;;;;;
 ''Political power grows out of the barrel of a gun.'';Mao Zedong;;;;;;;;;;;;;;
 ''War will exist until that distant day when the conscientious objector enjoys the same reputation and prestige that the warrior does today.'';John F. Kennedy;;;;;;;;;;;;;;
 ''War is a mere continuation of politics by other means.'';Carl von Clausewitz;;;;;;;;;;;;;;
 ''The sooner we all start speaking Russian, the faster we shall build communism.'';Nikita Krutschev;;;;;;;;;;;;;;
 ''This is the moment of your defeat, you have just put in the last nails in the coffin of communism.'';Lech Walesa, December 13, 1981.;;;;;;;;;;;;;;
 ''Homo homini lupus (Man is a wolf to man).'';Titus Maccius Plautus, Roman playwright, 195 BC.;;;;;;;;;;;;;;
 ''I love Germany so much that I prefer to see two of them.'';Italian Prime Minister Giulio Andreotti.;;;;;;;;;;;;;;
 ''We do not want a united Germany.'';Margaret Thatcher to Gorbachev.;;;;;;;;;;;;;;
 ''We defeated the Germans twice! And now they're back!'';Margaret Thatcher, December 1989.;;;;;;;;;;;;;;
 ''So long as the bosses pretend to pay us, we will pretend to work.'';Soviet joke;;;;;;;;;;;;;;
 ''He is a modern Communist leader who knows something about public relations. Goebbels, ..., was an expert in public relations, too.'';Helmut Kohl on Mikhail Gorbachev, November 2, 1986;;;;;;;;;;;;;;
