detachable = yes

# 0 - MRCAG 1949
model = {
	cost 				= 5
	buildtime			= 170
	manpower 			= 0.15
	surfacedetectioncapability	= 14
	airdetectioncapability		= 8
	subdetectioncapability		= 6
	airdefence			= -18
	seaattack			= 12
	convoyattack			= 12
	subattack			= 0
	airattack			= 10
	shorebombardment		= 10
	distance			= 1.6
	supplyconsumption 		= 0.5
	fuelconsumption			= 1
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { heavy_fighter = 30 manpower = 150 }
}
# 1 - MRCAG 1951
model = {
	cost 				= 8
	buildtime			= 170
	manpower 			= 0.15
	surfacedetectioncapability	= 14
	airdetectioncapability		= 10
	subdetectioncapability		= 8
	airdefence			= -19
	seaattack			= 14
	convoyattack			= 14
	subattack			= 2
	airattack			= 12
	shorebombardment		= 12
	distance			= 1.8
	supplyconsumption 		= 0.6
	fuelconsumption			= 1
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { heavy_fighter = 30 manpower = 150 }
}
# 2 - MRCAG 1957
model = {
	cost 				= 10
	buildtime			= 170
	manpower 			= 0.15
	surfacedetectioncapability	= 16
	airdetectioncapability		= 12
	subdetectioncapability		= 10
	airdefence			= -20
	seaattack			= 16
	convoyattack			= 16
	subattack			= 4
	airattack			= 14
	shorebombardment		= 14
	distance			= 2
	supplyconsumption 		= 0.6
	fuelconsumption			= 1
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { heavy_fighter = 30 manpower = 150 }
}
# 3 - MRCAG 1966
model = {
	cost 				= 12
	buildtime			= 170
	manpower 			= 0.15
	surfacedetectioncapability	= 18
	airdetectioncapability		= 14
	subdetectioncapability		= 10
	airdefence			= -23
	seaattack			= 18
	convoyattack			= 18
	subattack			= 6
	airattack			= 16
	shorebombardment		= 16
	distance			= 2.4
	supplyconsumption 		= 0.7
	fuelconsumption			= 1
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { heavy_fighter = 30 manpower = 150 }
}
# 4 - MRCAG 1976
model = {
	cost 				= 15
	buildtime			= 190
	manpower 			= 0.15
	surfacedetectioncapability	= 20
	airdetectioncapability		= 16
	subdetectioncapability		= 14
	airdefence			= -25
	seaattack			= 20
	convoyattack			= 20
	subattack			= 8
	airattack			= 18
	shorebombardment		= 18
	distance			= 2.5
	supplyconsumption 		= 1
	fuelconsumption			= 1.5
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { heavy_fighter = 30 manpower = 150 }
}
# 5 - MRCAG 1987
model = {
	cost 				= 17
	buildtime			= 190
	manpower 			= 0.15
	surfacedetectioncapability	= 22
	airdetectioncapability		= 18
	subdetectioncapability		= 16
	airdefence			= -30
	seaattack			= 22
	convoyattack			= 22
	subattack			= 10
	airattack			= 20
	shorebombardment		= 20
	distance			= 2.5
	supplyconsumption 		= 1
	fuelconsumption			= 1.5
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	equipment = { heavy_fighter = 30 manpower = 150 }
}
# 6 - MRCAG 1992
model = {
	cost 				= 20
	buildtime			= 190
	manpower 			= 0.15
	surfacedetectioncapability	= 23
	airdetectioncapability		= 19
	subdetectioncapability		= 17
	airdefence			= -35
	seaattack			= 24
	convoyattack			= 25
	subattack			= 12
	airattack			= 23
	shorebombardment		= 23
	distance			= 2.5
	supplyconsumption 		= 1
	fuelconsumption			= 1.5
	upgrade_time_factor 		= 0.4
	upgrade_cost_factor 		= 0.6
	upgrade_time_boost 	= no
	equipment = { heavy_fighter = 30 manpower = 150 }
}
