country;main color;leader language;ArmyNationalitySprite;Model Nationality Picture ;Model Nationality Icon;Model Nationality Name;END
AFG;DarkOrange;ENG;MIN;;;;X
ALB;DarkBrown;ENG;MIN;;;;X
ALG;LightYellow;FRA;MIN;;;;X
ANG;UserColor4;POR;MIN;;;;X
ARA;UserColor3;TUR;MIN;;;;X
ARG;LightBlue;SPA;MIN;;;;X
ARM;Brown;SOV;MIN;;;;X
AST;LightGray;AST;MIN;;;;X
AUS;Brown;AUS;MIN;;;;X
AZB;DarkOrange;SOV;MIN;;;;X
BEL;Yellow;BEL;MIN;;;;X
BEN;DarkBlue;ENG;MIN;;;;X
BHU;UserColor3;ENG;MIN;;;;X
BLR;UserColor6;SOV;MIN;;;;X
BOL;LightGray;SPA;MIN;;;;X
BOS;UserColor5;YUG;MIN;;;;X
BRA;LightGreen;POR;MIN;;;;X
BRU;White;ENG;MIN;;;;X
BUL;LightBrown;BUL;MIN;;;;X
BUR;LightYellow;ENG;MIN;;;;X
CAL;Green;USA;MIN;;;;X
CAM;Brown;FRA;MIN;;;;X
CAN;LightGray;ENG;MIN;;;;X
CGX;LightBrown;CHI;MIN;;;;X
CHC;UserColor6;CHI;CHC;;;;X
CHI;Yellow;CHI;MIN;;;;X
CHL;DarkGreen;SPA;MIN;;;;X
CMB;UserColor1;ENG;MIN;;;;X
COL;DarkYellow;SPA;MIN;;;;X
CON;LightGreen;ENG;MIN;;;;X
COS;LightBrown;SPA;MIN;;;;X
CRO;DarkGray;YUG;MIN;;;;X
CSA;UserColor5;USA;MIN;;;;X
CSX;Green;CHI;MIN;;;;X
CUB;UserColor6;CUB;MIN;;;;X
CXB;DarkGreen;CHI;MIN;;;;X
CYN;DarkBrown;CHI;MIN;;;;X
CYP;Yellow;ENG;MIN;;;;X
CZE;DarkGreen;ENG;MIN;;;;X
DDR;LightGreen;GER;MIN;;;;X
DEN;DarkOrange;DEN;MIN;;;;X
DFR;LightOrange;GER;MIN;;;;X
DOM;DarkGray;SPA;MIN;;;;X
EAF;LightGray;ENG;MIN;;;;X
ECU;Yellow;SPA;MIN;;;;X
EGY;UserColor5;ENG;MIN;;;;X
ENG;Red;ENG;ENG;;;;X
EQA;DarkBlue;FRA;MIN;;;;X
EST;DarkYellow;EST;MIN;;;;X
ETH;Brown;ENG;MIN;;;;X
EUS;UserColor6;SPA;MIN;;;;X
FIN;Blue;FIN;MIN;;;;X
FLA;Yellow;BEL;MIN;;;;X
FRA;Blue;FRA;MIN;;;;X
GAB;Green;FRA;MIN;;;;X
GEO;UserColor5;ENG;MIN;;;;X
GER;Gray;GER;MIN;;;;X
GLD;Brown;ENG;MIN;;;;X
GRE;LightBlue;ENG;MIN;;;;X
GUA;LightRed;SPA;MIN;;;;X
GUI;LightRed;FRA;MIN;;;;X
GUY;LightOrange;ENG;MIN;;;;X
HAI;UserColor2;ENG;MIN;;;;X
HOL;LightYellow;HOL;MIN;;;;X
HON;LightGreen;SPA;MIN;;;;X
HUN;DarkYellow;HUN;MIN;;;;X
ICL;LightGray;ENG;MIN;;;;X
IDC;LightBlue;ENG;MIN;;;;X
IND;UserColor4;ENG;MIN;;;;X
INO;LightBrown;ENG;MIN;;;;X
IRE;LightGreen;IRE;MIN;;;;X
IRQ;DarkBrown;TUR;MIN;;;;X
ISR;UserColor1;ENG;MIN;;;;X
ITA;Green;ITA;MIN;;;;X
JAP;LightOrange;JAP;MIN;;;;X
JOR;Yellow;ENG;MIN;;;;X
KAZ;LightBlue;SOV;MIN;;;;X
KOR;LightGreen;ENG;MIN;;;;X
KUR;Red;TUR;MIN;;;;X
KYG;Red;SOV;MIN;;;;X
LAO;DarkBrown;ENG;MIN;;;;X
LAT;DarkBrown;LAT;MIN;;;;X
LBY;Green;ENG;MIN;;;;X
LEB;LightGray;ENG;MIN;;;;X
LIB;LightGray;ENG;MIN;;;;X
LIT;LightBlue;LIT;MIN;;;;X
LUX;LightBrown;ENG;MIN;;;;X
MAD;DarkOrange;FRA;MIN;;;;X
MAL;LightGreen;FRA;MIN;;;;X
MAN;DarkGray;CHI;MIN;;;;X
MEN;LightRed;CHI;MIN;;;;X
MEX;DarkGreen;SPA;MIN;;;;X
MIN;Brown;ENG;MIN;;;;X
MLY;DarkBlue;ENG;MIN;;;;X
MON;DarkYellow;CHI;MIN;;;;X
MOR;DarkOrange;ENG;MIN;;;;X
MOZ;Red;POR;MIN;;;;X
MTN;UserColor1;ENG;MIN;;;;X
NAM;UserColor2;ENG;MIN;;;;X
NEP;UserColor3;ENG;MIN;;;;X
NIC;DarkBrown;SPA;MIN;;;;X
NIG;DarkGreen;ENG;MIN;;;;X
NOR;Yellow;NOR;MIN;;;;X
NZL;DarkYellow;NZL;MIN;;;;X
OMN;LightBrown;ENG;MIN;;;;X
OTT;DarkBlue;TUR;MIN;;;;X
PAK;White;ENG;MIN;;;;X
PAL;LightOrange;ENG;MIN;;;;X
PAN;UserColor4;SPA;MIN;;;;X
PAR;LightRed;SPA;MIN;;;;X
PER;DarkGray;ENG;MIN;;;;X
PHI;DarkBrown;SPA;MIN;;;;X
POL;DarkGray;POL;MIN;;;;X
POR;DarkGreen;POR;MIN;;;;X
PRI;UserColor1;SOV;MIN;;;;X
PRK;Brown;CHI;MIN;;;;X
PRU;DarkOrange;SPA;MIN;;;;X
QUE;UserColor1;FRA;MIN;;;;X
REB;Black;ENG;MIN;;;;X
RHO;Brown;ENG;MIN;;;;X
ROM;DarkOrange;ROM;MIN;;;;X
RSI;DarkGreen;ITA;MIN;;;;X
RUS;DarkGreen;SOV;RUS;;;;X
SAF;LightRed;ENG;MIN;;;;X
SAL;UserColor3;ENG;MIN;;;;X
SAR;UserColor5;ENG;MIN;;;;X
SAU;DarkGreen;ENG;MIN;;;;X
SCA;UserColor4;SWE;MIN;;;;X
SCH;DarkOrange;GER;MIN;;;;X
SCO;LightBrown;ENG;MIN;;;;X
SER;Blue;ENG;MIN;;;;X
SIA;LightGreen;ENG;MIN;;;;X
SIB;LightBlue;SOV;MIN;;;;X
SIE;UserColor4;ENG;MIN;;;;X
SIK;UserColor4;CHI;MIN;;;;X
SLO;LightGreen;ENG;MIN;;;;X
SLV;LightBrown;ENG;MIN;;;;X
SOM;UserColor1;ENG;MIN;;;;X
SOV;DarkRed;SOV;RUS;;;;X
SPA;LightOrange;SPA;MIN;;;;X
SPR;DarkYellow;SPA;MIN;;;;X
SUD;DarkYellow;ENG;MIN;;;;X
SWE;LightBlue;SWE;MIN;;;;X
SYR;UserColor2;ENG;MIN;;;;X
TAJ;DarkGray;SOV;MIN;;;;X
TAN;LightRed;CHI;MIN;;;;X
TEX;Yellow;USA;MIN;;;;X
TIB;LightBlue;ENG;MIN;;;;X
TRA;LightOrange;SOV;MIN;;;;X
TRK;Yellow;SOV;MIN;;;;X
TUN;Brown;FRA;MIN;;;;X
TUR;LightGreen;TUR;MIN;;;;X
UKR;UserColor2;SOV;MIN;;;;X
URU;DarkGray;SPA;MIN;;;;X
USA;DarkBlue;USA;USA;;;;X
UZB;LightGreen;SOV;MIN;;;;X
VEN;LightBrown;SPA;MIN;;;;X
VIC;Blue;FRA;MIN;;;;X
VIE;DarkRed;CHI;MIN;;;;X
WLL;LightBrown;FRA;MIN;;;;X
YEM;LightGray;TUR;MIN;;;;X
YUG;LightYellow;YUG;MIN;;;;X
ALS;DarkBlue;ENG;MIN;;;;X
AXI;Gray;GER;MIN;;;;X
ALI;Black;ALI;MIN;;;;X
U00;DarkGray;ENG;MIN;;;;X
