UER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1360001;Head of State;Devon McKinney;1985;2012;2012;ST;Ruthless Powermonger;Very High;unknown;X
1360002;Head of Government;Devon McKinney;1985;2012;2012;ST;Supreme Leader2;Very High;unknown;X
1360003;Foreign Minister;Devon McKinney;1985;2012;2012;ST;Biased Intellectual;Very High;unknown;X
1360004;Minister of Armament;Devon McKinney;1985;2012;2012;ST;Infantry Proponent;Very High;unknown;X
1360005;Minister of Security;Devon McKinney;1985;2012;2012;ST;Silent Lawyer;Very High;unknown;X
1360006;Head of Military Intelligence;Devon McKinney;1985;2012;2012;ST;Dismal Enigma;Very High;unknown;X
1360007;Chief of Staff;Devon McKinney;1985;2012;2012;ST;School of Defence;Very High;unknown;X
1360008;Chief of Army;Devon McKinney;1985;2012;2012;ST;Static Defence Doctrine;Very High;unknown;X
1360009;Chief of Navy;Devon McKinney;1985;2012;2012;ST;Indirect Approach Doctrine;Very High;unknown;X
1360010;Chief of Air Force;Devon McKinney;1985;2012;2012;ST;Air Superiority Doctrine;Very High;unknown;X
