MLY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
500001;Head of State;Yang di-Pertuan Agong;1985;2012;2012;SC;Benevolent Gentleman;Very High;MLY1;X
500002;Head of Government;Mahathir Mohamad;1985;2012;2012;SC;Backroom Backstabber;Very High;MLY2;X
500003;Foreign Minister;?;1985;2012;2012;SC;Generic;Very High;unknown;X
500004;Minister of Armament;?;1985;2012;2012;SC;Generic;Very High;unknown;X
500005;Minister of Security;?;1985;2012;2012;SC;Generic;Very High;unknown;X
500006;Head of Military Intelligence;?;1985;2012;2012;SC;Generic;Very High;unknown;X
500007;Chief of Staff;?;1985;2012;2012;SC;Generic;Very High;unknown;X
500008;Chief of Army;?;1985;2012;2012;SC;Generic;Very High;unknown;X
500009;Chief of Navy;?;1985;2012;2012;SC;Generic;Very High;unknown;X
500010;Chief of Air Force;?;1985;2012;2012;SC;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
