U58;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1105001;Head of State;HM Elizabeth II;1985;2012;2012;SC;Popular Figurehead;Very High;UK1;X
1105002;Head of Government;Lynden Pindling;1985;2012;2012;SL;Silent Workhorse;Very High;U58-1;X
1105003;Foreign Minister;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1105004;Minister of Armament;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1105005;Minister of Security;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1105006;Head of Military Intelligence;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1105007;Chief of Staff;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1105008;Minister of Security;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1105009;Chief of Army;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1105010;Chief of Navy;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1105011;Chief of Air Force;?;1985;2012;2012;SL;Generic;Very High;unknown;X
