VIE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
790001;Head of State;Truong Chinh;1985;2012;2012;ST;Weary Stiffneck;Very High;VIE1;X
790002;Head of Government;Pham Van Dong;1985;2012;2012;LE;Ambitious Union Boss;Very High;VIE2;X
790003;Foreign Minister;Nguyen Co Thach;1985;2012;2012;LE;Apologetic Clerk;Very High;VIE3;X
790004;Minister of Armament;Van Tien Dung;1985;2012;2012;LE;Military Entrepreneur;Very High;VIE4;X
790005;Minister of Security;Pham Hung;1985;2012;2012;LE;Man of the People;Very High;VIE5;X
790006;Head of Military Intelligence;Van Tien Dung;1985;2012;2012;LE;Political Specialist;Very High;VIE6;X
790007;Chief of Staff;Le Trong Tan;1985;2012;2012;LE;School of Mass Combat;Very High;VIE7;X
790008;Chief of Army;Le Trong Tan;1985;2012;2012;LE;Decisive Battle Doctrine;Very High;VIE7;X
790009;Chief of Navy;Giap Van Cuong;1985;2012;2012;LE;Indirect Approach Doctrine;Very High;VIE8;X
790010;Chief of Air Force;Tran Hanh;1985;2012;2012;LE;Air Superiority Doctrine;Very High;unknown;X
;Replacements;;;;;;;;;X
790011;Head of State;Lam Nguon Tanh;1985;2012;2012;PA;Stern Imperialist;Very High;VIE10;X
790012;Head of Government;Lam Nguon Tanh;1985;2012;2012;PA;Old Admiral;Very High;VIE10;X
790013;Foreign Minister;Tran Van Minh;1985;2012;2012;PA;General Staffer;Very High;VIE11;X
790014;Minister of Armament;Lam Nguon Tanh;1985;2012;2012;PA;Military Entrepreneur;Very High;VIE10;X
790015;Minister of Security;Dang Van Quang;1985;2012;2012;PA;Back Stabber;Very High;VIE13;X
790016;Head of Military Intelligence;Dang Van Quang;1985;2012;2012;PA;Political Specialist;Very High;VIE13;X
790017;Chief of Staff;Cao Van Vien;1985;2012;2012;PA;School of Psychology;Very High;VIE14;X
790018;Chief of Army;Le Minh Dao;1985;2012;2012;PA;Elastic Defence Doctrine;Very High;VIE15;X
790019;Chief of Navy;Chung Tan Cang;1985;2012;2012;PA;Base Control Doctrine;Very High;VIE16;X
790020;Chief of Air Force;Ngo Quang Truong;1985;2012;2012;PA;Vertical Envelopment Doctrine;Very High;VIE17;X
