SAL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
345001;Head of State;José Napoleón Duarte;1985;2012;2012;PA;Ruthless Powermonger;Very High;SAL1;X
345002;Head of Government;José Napoleón Duarte;1985;2012;2012;PA;Old General;Very High;SAL1;X
345003;Foreign Minister;?;1985;2012;2012;PA;Generic;Very High;unknown;X
345004;Minister of Armament;?;1985;2012;2012;PA;Generic;Very High;unknown;X
345005;Minister of Security;?;1985;2012;2012;PA;Generic;Very High;unknown;X
345006;Head of Military Intelligence;?;1985;2012;2012;PA;Generic;Very High;unknown;X
345007;Chief of Staff;?;1985;2012;2012;PA;Generic;Very High;unknown;X
345008;Chief of Army;?;1985;2012;2012;PA;Generic;Very High;unknown;X
345009;Chief of Navy;?;1985;2012;2012;PA;Generic;Very High;unknown;X
345010;Chief of Air Force;?;1985;2012;2012;PA;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
345011;Head of State;Salvador Sánchez Cerén;1985;2012;2012;LE;Die-hard Reformer;Very High;SAL2;X
345012;Head of Government;Schafik Handal;1985;2012;2012;LE;Flamboyant Tough Guy;Very High;SAL3;X
345013;Foreign Minister;?;1985;2012;2012;LE;Generic;Very High;unknown;X
345014;Minister of Armament;?;1985;2012;2012;LE;Generic;Very High;unknown;X
345015;Minister of Security;?;1985;2012;2012;LE;Generic;Very High;unknown;X
345016;Head of Military Intelligence;?;1985;2012;2012;LE;Generic;Very High;unknown;X
345017;Chief of Staff;?;1985;2012;2012;LE;Generic;Very High;unknown;X
345018;Chief of Army;?;1985;2012;2012;LE;Generic;Very High;unknown;X
345019;Chief of Navy;?;1985;2012;2012;LE;Generic;Very High;unknown;X
345020;Chief of Air Force;?;1985;2012;2012;LE;Generic;Very High;unknown;X
