U31;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
970001;Head of State;Václav Havel;1985;2012;2012;ML;Benevolent Gentleman;Very High;CZE5;X
970002;Head of Government;Marián Calfa;1985;2012;2012;SD;Silent Workhorse;Very High;CZE6;X
970003;Foreign Minister;Lubos Dobrovský;1985;2012;2012;SL;Great Compromiser;Very High;CZE7;X
970005;Minister of Armament;Václav Klaus;1985;2012;2012;ML;Laissez-Faire Capitalist;Very High;CZE8;X
970007;Minister of Security;Vladimír Meciar;1985;2012;2012;SC;Back Stabber;Very High;CZE9;X
970008;Head of Military Intelligence;Imrich Andrejcák;1985;2012;2012;ML;Logistics Specialist;Very High;CZE10;X
970009;Chief of Staff;Miroslav Vacek;1985;2012;2012;SD;School of Manoeuvre;Very High;CZE11;X
970010;Chief of Army;Miroslav Vacek;1985;2012;2012;SD;Decisive Battle Doctrine;Very High;CZE11;X
970011;Chief of Navy;Miroslav Vacek;1985;2012;2012;SD;Indirect Approach Doctrine;Very High;CZE11;X
970012;Chief of Air Force;Miroslav Vacek;1985;2012;2012;SD;Air Superiority Doctrine;Very High;CZE11;X
970013;Head of Government;Václav Klaus;1985;2012;2012;ML;Flamboyant Tough Guy;Very High;CZE8;X
970014;Minister of Security;Oskar Krejcí;1985;2012;2012;SD;Crime Fighter;Very High;CZE12;X
970016;Head of Military Intelligence;Oskar Krejcí;1985;2012;2012;SD;Political Specialist;Very High;CZE12;X
