UAU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
65501;Head of State;Queen Mother Moore;1985;2012;2012;LWR;Popular Figurehead;Very High;UAU1;X
65502;Head of Government;Robert F. Williams;1985;2012;2012;LWR;Flamboyant Tough Guy;Very High;UAU2;X
65503;Foreign Minister;Betty Shabazz;1985;2012;2012;LWR;Biased Intellectual;Very High;UAU3;X
65503;Minister of Armament;Huey P. Newton;1985;2012;2012;LWR;Infantry Proponent;Very High;UAU4;X
65504;Minister of Security;Milton Henry;1985;2012;2012;LWR;Silent Lawyer;Very High;UAU5;X
65505;Head of Military Intelligence;Huey P. Newton;1985;2012;2012;LWR;Dismal Enigma;Very High;UAU4;X
65506;Chief of Staff;Robert F. Williams;1985;2012;2012;LWR;School of Defence;Very High;UAU2;X
65507;Chief of Army;Huey P. Newton;1985;2012;2012;LWR;Static Defence Doctrine;Very High;UAU4;X
65508;Chief of Navy;Robert F. Williams;1985;2012;2012;LWR;Indirect Approach Doctrine;Very High;UAU2;X
65509;Chief of Air Force;Robert F. Williams;1985;2012;2012;LWR;Air Superiority Doctrine;Very High;UAU2;X
