GUI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
665001;Head of State;Lansana Conté;1984;2012;2012;FA;Resigned Generalissimo;High;GUI1;X
665002;Head of Government;Lansana Conté;1984;2012;2012;FA;Old General;High;GUI1;X
665003;Foreign Minister;Lansana Conté;1984;2012;2012;FA;Great Compromiser;High;GUI1;X
665004;Minister of Armament;Lansana Conté;1984;2012;2012;FA;Infantry Proponent;High;GUI1;X
665005;Minister of Security;Lansana Conté;1984;2012;2012;FA;Back Stabber;High;GUI1;X
665006;Head of Military Intelligence;Lansana Conté;1984;2012;2012;FA;Naval Intelligence Specialist;High;GUI1;X
665007;Chief of Staff;Lansana Conté;1984;2012;2012;FA;School of Manoeuvre;High;GUI1;X
665008;Chief of Army;Lansana Conté;1984;2012;2012;FA;Decisive Battle Doctrine;High;GUI1;X
665009;Chief of Navy;Lansana Conté;1984;2012;2012;FA;Open Seas Doctrine;High;GUI1;X
665010;Chief of Air Force;Lansana Conté;1984;2012;2012;FA;Vertical Envelopment Doctrine;High;GUI1;X
