U86;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1245001;Head of State;Dawda Jawara;1984;2012;2012;SC;Weary Stiffneck;Very High;U86-1;X
1245002;Head of Government;Dawda Jawara;1984;2012;2012;SC;Backroom Backstabber;Very High;U86-1;X
1245003;Foreign Minister;Dawda Jawara;1984;2012;2012;SC;Undistinguished Suit;Very High;U86-1;X
1245004;Minister of Armament;Dawda Jawara;1984;2012;2012;SC;Undistinguished Suit;Very High;U86-1;X
1245005;Minister of Security;Dawda Jawara;1984;2012;2012;SC;Undistinguished Suit;Very High;U86-1;X
1245006;Head of Military Intelligence;Dawda Jawara;1984;2012;2012;SC;Undistinguished Suit;Very High;U86-1;X
1245007;Chief of Staff;Dawda Jawara;1984;2012;2012;SC;Undistinguished Suit;Very High;U86-1;X
1245008;Chief of Army;Dawda Jawara;1984;2012;2012;SC;Undistinguished Suit;Very High;U86-1;X
1245009;Chief of Navy;Dawda Jawara;1984;2012;2012;SC;Undistinguished Suit;Very High;U86-1;X
1245010;Chief of Air Force;Dawda Jawara;1984;2012;2012;SC;Undistinguished Suit;Very High;U86-1;X
1245011;Head of State;Kukoi Sanyang;1984;2012;2012;LWR;Barking Buffoon;Very High;U86-2;X
1245012;Head of Government;Kukoi Sanyang;1984;2012;2012;LWR;Flamboyant Tough Guy;Very High;U86-2;X
1245013;Foreign Minister;Kukoi Sanyang;1984;2012;2012;LWR;Undistinguished Suit;Very High;U86-2;X
1245014;Minister of Armament;Kukoi Sanyang;1984;2012;2012;LWR;Undistinguished Suit;Very High;U86-2;X
1245015;Minister of Security;Kukoi Sanyang;1984;2012;2012;LWR;Undistinguished Suit;Very High;U86-2;X
1245016;Head of Military Intelligence;Kukoi Sanyang;1984;2012;2012;LWR;Undistinguished Suit;Very High;U86-2;X
1245017;Chief of Staff;Kukoi Sanyang;1984;2012;2012;LWR;Undistinguished Suit;Very High;U86-2;X
1245018;Chief of Army;Kukoi Sanyang;1984;2012;2012;LWR;Undistinguished Suit;Very High;U86-2;X
1245019;Chief of Navy;Kukoi Sanyang;1984;2012;2012;LWR;Undistinguished Suit;Very High;U86-2;X
1245020;Chief of Air Force;Kukoi Sanyang;1984;2012;2012;LWR;Undistinguished Suit;Very High;U86-2;X
