U93;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1280001;Head of State;Maaouya Ould Sid'Ahmed Taya;1985;2012;2012;PA;Resigned Generalissimo;Very High;U93-1;X
1280002;Head of Government;Maaouya Ould Sid'Ahmed Taya;1985;2012;2012;PA;Old General;Very High;U93-1;X
1280003;Foreign Minister;Maaouya Ould Sid'Ahmed Taya;1985;2012;2012;PA;Ideological Crusader;Very High;U93-1;X
1280004;Minister of Armament;Maaouya Ould Sid'Ahmed Taya;1985;2012;2012;PA;Resource Industrialist;Very High;U93-1;X
1280005;Minister of Security;Maaouya Ould Sid'Ahmed Taya;1985;2012;2012;PA;Man of the People;Very High;U93-1;X
1280006;Head of Military Intelligence;Maaouya Ould Sid'Ahmed Taya;1985;2012;2012;PA;Industrial Specialist;Very High;U93-1;X
1280007;Chief of Staff;Maaouya Ould Sid'Ahmed Taya;1985;2012;2012;PA;School of Mass Combat;Very High;U93-1;X
1280008;Chief of Army;Maaouya Ould Sid'Ahmed Taya;1985;2012;2012;PA;Guns and Butter Doctrine;Very High;U93-1;X
1280009;Chief of Navy;Maaouya Ould Sid'Ahmed Taya;1985;2012;2012;PA;Decisive Naval Battle Doctrine;Very High;U93-1;X
1280010;Chief of Air Force;Maaouya Ould Sid'Ahmed Taya;1985;2012;2012;PA;Army Aviation Doctrine;Very High;U93-1;X
