U01;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
820001;Head of State;Ieremia Tabai;1985;2012;2012;SC;Pig-headed Isolationist;Very High;U01-1;X
820002;Head of Government;Ieremia Tabai;1985;2012;2012;SC;Flamboyant Tough Guy;Very High;U01-1;X
820003;Foreign Minister;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
820004;Minister of Armament;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
820005;Minister of Security;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
820006;Head of Military Intelligence;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
820007;Chief of Staff;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
820008;Chief of Army;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
820009;Chief of Navy;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
820010;Chief of Air Force;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
