ETH;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
245001;Head of State;Mengistu Haile;1985;2012;2012;ST;Ruthless Powermonger;Very High;ETH1;X
245002;Head of Government;Mengistu Haile;1985;2012;2012;ST;Dictator2;Very High;ETH1;X
245003;Foreign Minister;Mengistu Haile;1985;2012;2012;ST;General Staffer;Very High;ETH1;X
245004;Minister of Armament;Mengistu Haile;1985;2012;2012;ST;Military Entrepreneur;Very High;ETH1;X
245005;Minister of Security;Mengistu Haile;1985;2012;2012;ST;Prince of Terror;Very High;ETH1;X
245006;Head of Military Intelligence;Mengistu Haile;1985;2012;2012;ST;Logistics Specialist;Very High;ETH1;X
245007;Chief of Staff;Mengistu Haile;1985;2012;2012;ST;School of Mass Combat;Very High;ETH1;X
245008;Chief of Army;Mengistu Haile;1985;2012;2012;ST;Guns and Butter Doctrine;Very High;ETH1;X
245009;Chief of Navy;Mengistu Haile;1985;2012;2012;ST;Indirect Approach Doctrine;Very High;ETH1;X
245010;Chief of Air Force;Mengistu Haile;1985;2012;2012;ST;Army Aviation Doctrine;Very High;ETH1;X
;Replacements;;;;;;;;;X
245011;Head of State;Meles Zenawi;1985;2012;2012;LWR;Autocratic Charmer;Very High;ETH2;X
245012;Head of Government;Meles Zenawi;1985;2012;2012;LWR;Ambitious Union Boss;Very High;ETH2;X
245013;Foreign Minister;Meles Zenawi;1985;2012;2012;LWR;Great Compromiser;Very High;ETH2;X
245014;Minister of Armament;Meles Zenawi;1985;2012;2012;LWR;Infantry Proponent;Very High;ETH2;X
245015;Minister of Security;Meles Zenawi;1985;2012;2012;LWR;Man of the People;Very High;ETH2;X
245016;Head of Military Intelligence;Meles Zenawi;1985;2012;2012;LWR;Logistics Specialist;Very High;ETH2;X
245017;Chief of Staff;Meles Zenawi;1985;2012;2012;LWR;School of Defence;Very High;ETH2;X
245018;Chief of Army;Meles Zenawi;1985;2012;2012;LWR;Guns and Butter Doctrine;Very High;ETH2;X
245019;Chief of Navy;Meles Zenawi;1985;2012;2012;LWR;Indirect Approach Doctrine;Very High;ETH2;X
245020;Chief of Air Force;Meles Zenawi;1985;2012;2012;LWR;Vertical Envelopment Doctrine;Very High;ETH2;X
