NIG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
715001;Head of State;Muhammadu Buhari;1984;2012;2012;FA;Resigned Generalissimo;High;NIG1;X
715002;Head of Government;Tunde Idiagbon;1984;2012;2012;FA;Old General;High;NIG2;X
715003;Foreign Minister;Bolaji Akinyemi;1984;2012;2012;ML;biased intellectual;High;NIG3;X
715004;Minister of Armament;Domkat Bali;1984;2012;2012;ML;Military Entrepreneur;Medium;unknown;X
715005;Minister of Security;Mohammed Lawal Rafindadi;1984;2012;2012;ML;Crime Fighter;Medium;unknown;X
715006;Head of Military Intelligence;Mohammed Lawal Rafindadi;1984;2012;2012;ML;Political Specialist;Medium;unknown;X
715007;Chief of Staff;Domkat Bali;1984;2012;2012;ML;School of Fire Support;Medium;unknown;X
715008;Chief of Army;Ibrahim Babangida;1984;2012;2012;ML;Guns and Butter Doctrine;Medium;NIG4;X
715009;Chief of Navy;Domkat Bali;1984;2012;2012;ML;Power Projection Doctrine;Medium;unknown;X
715010;Chief of Air Force;Ibrahim Mahmud Alfa;1984;2012;2012;ML;Army Aviation Doctrine;Medium;NIG5;X
