FIN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
145001;Head of State;Mauno Koivisto;1985;2012;2012;SC;Pig-headed Isolationist;Very High;FIN1;X
145002;Head of Government;Kalevi Sorsa;1985;2012;2012;SC;Silent Workhorse;Very High;FIN2;X
145003;Foreign Minister;Paavo Väyrynen;1985;2012;2012;SC;biased intellectual;Very High;FIN3;X
145004;Minister of Armament;Ahti Pekkala;1985;2012;2012;SC;Resource Industrialist;Very High;FIN4;X
145005;Minister of Security;Christoffer Taxel;1985;2012;2012;SC;Silent Lawyer;Very High;FIN5;X
145006;Head of Military Intelligence;Kaisa Raatikainen;1985;2012;2012;SC;Dismal Enigma;Very High;FIN6;X
145007;Chief of Staff;Jaakko Valtanen;1985;2012;2012;SC;School of Manoeuvre;Very High;FIN7;X
145008;Chief of Army;Jaakko Valtanen;1985;2012;2012;SC;Elastic Defence Doctrine;Very High;FIN7;X
145009;Chief of Navy;Juha Tikka;1985;2012;2012;SC;Open Seas Doctrine;Very High;unknown;X
145010;Chief of Air Force;Rauno Meriö;1985;2012;2012;SC;Naval Aviation Doctrine;Very High;FIN8;X
