LAO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
685001;Head of State;Phoumi Vongvichit;1985;2012;2012;LE;Weary Stiffneck;Very High;LAO1;X
685002;Head of Government;Kaysone Phomvihane;1985;2012;2012;LE;Flamboyant Tough Guy;Very High;LAO2;X
685003;Foreign Minister;HRH Souphanouvong;1985;2012;2012;LE;biased intellectual;Very High;LAO3;X
685004;Minister of Armament;Nouhak Phoumsavanh;1985;2012;2012;LE;Resource Industrialist;Very High;LAO4;X
685005;Minister of Security;Khamtai Siphandon;1985;2012;2012;LE;Prince of Terror;Very High;LAO5;X
685006;Head of Military Intelligence;Nouhak Phoumsavanh;1985;2012;2012;LE;Industrial Specialist;Very High;LAO4;X
685007;Chief of Staff;Khamtai Siphandon;1985;2012;2012;LE;School of Mass Combat;Very High;LAO5;X
685008;Chief of Army;Khamtai Siphandon;1985;2012;2012;LE;Guns and Butter Doctrine;Very High;LAO5;X
685009;Chief of Navy;Khamtai Siphandon;1985;2012;2012;LE;Indirect Approach Doctrine;Very High;LAO5;X
685010;Chief of Air Force;Khamtai Siphandon;1985;2012;2012;LE;Army Aviation Doctrine;Very High;LAO5;X
;Replacements;;;;;;;;;X
685011;Head of State;HM Soulivong Savang;1985;2012;2012;LE;Popular Figurehead;Very High;LAO6;X
685012;Head of Government;Vang Pao;1985;2012;2012;LE;Flamboyant Tough Guy;Very High;LAO7;X
685013;Foreign Minister;Vang Pao;1985;2012;2012;LE;General Staffer;Very High;LAO7;X
685014;Minister of Armament;Kong Le;1985;2012;2012;LE;Military Entrepreneur;Very High;LAO8;X
685015;Minister of Security;Khamphoui Sisavatdy;1985;2012;2012;LE;Man of the People;Very High;unknown;X
685016;Head of Military Intelligence;Kong Le;1985;2012;2012;LE;Logistics Specialist;Very High;LAO8;X
685017;Chief of Staff;Bounleuth Saycocie;1985;2012;2012;LE;School of Psychology;Very High;unknown;X
685018;Chief of Army;Bounleuth Saycocie;1985;2012;2012;LE;Guns and Butter Doctrine;Very High;unknown;X
685019;Chief of Navy;Bounleuth Saycocie;1985;2012;2012;LE;Indirect Approach Doctrine;Very High;unknown;X
685020;Chief of Air Force;Bounleuth Saycocie;1985;2012;2012;LE;Army Aviation Doctrine;Very High;unknown;X
