MAL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
695001;Head of State;Moussa Traoré;1985;2012;2012;FA;Ruthless Powermonger;High;MAL1;X
695002;Head of Government;Moussa Traoré;1985;2012;2012;FA;Old General;High;MAL1;X
695003;Foreign Minister;Moussa Traoré;1985;2012;2012;FA;Iron Fisted Brute;High;MAL1;X
695004;Minister of Armament;Moussa Traoré;1985;2012;2012;FA;Theoretical Scientist;Medium;MAL1;X
695005;Minister of Security;Moussa Traoré;1985;2012;2012;FA;Compassionate Gentleman;Medium;MAL1;X
695006;Head of Military Intelligence;Moussa Traoré;1985;2012;2012;FA;Logistics Specialist;Medium;MAL1;X
695007;Chief of Staff;Moussa Traoré;1985;2012;2012;FA;School of Fire Support;Medium;MAL1;X
695008;Chief of Army;Moussa Traoré;1985;2012;2012;FA;Guns and Butter Doctrine;Medium;MAL1;X
695009;Chief of Navy;Moussa Traoré;1985;2012;2012;FA;Open Seas Doctrine;Medium;MAL1;X
695010;Chief of Air Force;Moussa Traoré;1985;2012;2012;FA;Vertical Envelopment Doctrine;Medium;MAL1;X
;Replacements;;;;;;;;;X
