ICL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
360001;Head of State;Vigdís Finnbogadóttir;1985;2012;2012;SL;Popular Figurehead;Very High;ICL1;X
360002;Head of Government;Steingrímur Hermannsson;1985;2012;2012;ML;Silent Workhorse;Very High;ICL2;X
360003;Foreign Minister;Geir Hallgrímsson;1985;2012;2012;ML;Great Compromiser;Very High;ICL3;X
360004;Minister of Armament;Thorsteinn Pálsson;1985;2012;2012;ML;Laissez-Faire Capitalist;Very High;ICL4;X
360005;Minister of Security;?;1985;2012;2012;ML;Generic;Very High;unknown;X
360006;Head of Military Intelligence;?;1985;2012;2012;ML;Generic;Very High;unknown;X
360007;Chief of Staff;?;1985;2012;2012;ML;Generic;Very High;unknown;X
360008;Chief of Army;?;1985;2012;2012;ML;Generic;Very High;unknown;X
360009;Chief of Navy;?;1985;2012;2012;ML;Generic;Very High;unknown;X
360010;Chief of Air Force;?;1985;2012;2012;ML;Generic;Very High;unknown;X
