U29;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
960001;Head of State;Petar Mladenov;1985;2012;2012;SD;Weary Stiffneck;High;BUL3;X
960002;Head of Government;Andrey Lukanov;1985;2012;2012;SD;Happy Amateur;High;BUL7;X
960003;Foreign Minister;Petar Mladenov;1985;2012;2012;LE;biased intellectual;High;BUL3;X
960004;Minister of Armament;Belcho Belchev;1985;2012;2012;LE;Administrative Genius;High;BUL4;X
960005;Minister of Security;Dobri Dzhurov;1985;2012;2012;LE;Crime Fighter;High;BUL5;X
960006;Head of Military Intelligence;Grigor Shopov;1985;2012;2012;ST;Dismal Enigma;High;BUL6;X
960007;Chief of Staff;Hristo Lukov;1985;2012;2012;PA;School of Defence;Low;M19007;X
960008;Chief of Army;Todor Georgiev;1985;2012;2012;PA;Static Defence Doctrine;Medium;M19008;X
960009;Chief of Navy;Sava Ivanov;1985;2012;2012;PA;Open Seas Doctrine;Medium;M19009;X
960010;Chief of Air Force;Vasil Boydev;1985;2012;2012;PA;Air Superiority Doctrine;Medium;M19010;X
