BRU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
335001;Head of State;HM Hassanal Bolkiah;1985;2012;2012;FA;Autocratic Charmer;Very High;BRU1;X
335002;Head of Government;HM Hassanal Bolkiah;1985;2012;2012;FA;Corporate Suit;Very High;BRU1;X
335003;Foreign Minister;?;1985;2012;2012;FA;Generic;Very High;unknown;X
335004;Minister of Armament;?;1985;2012;2012;FA;Generic;Very High;unknown;X
335005;Minister of Security;?;1985;2012;2012;FA;Generic;Very High;unknown;X
335006;Head of Military Intelligence;?;1985;2012;2012;FA;Generic;Very High;unknown;X
335007;Chief of Staff;?;1985;2012;2012;FA;Generic;Very High;unknown;X
335008;Chief of Army;?;1985;2012;2012;FA;Generic;Very High;unknown;X
335009;Chief of Navy;?;1985;2012;2012;FA;Generic;Very High;unknown;X
335010;Chief of Air Force;?;1985;2012;2012;FA;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
