U94;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1285001;Head of State;Seyni Kountché;1985;2012;2012;FA;Resigned Generalissimo;Very High;U94-1;X
1285002;Head of Government;Seyni Kountché;1985;2012;2012;FA;Old General;Very High;U94-1;X
1285003;Foreign Minister;Ide Oumarou;1985;2012;2012;ML;Great Compromiser;Very High;U94-2;X
1285004;Minister of Armament;Ali Saibou;1985;2012;2012;FA;Military Entrepreneur;Very High;U94-3;X
1285005;Minister of Security;Seyni Kountché;1985;2012;2012;FA;Crime Fighter;Very High;U94-1;X
1285006;Head of Military Intelligence;Seyni Kountché;1985;2012;2012;FA;Dismal Enigma;Very High;U94-1;X
1285007;Chief of Staff;Seyni Kountché;1985;2012;2012;FA;School of Fire Support;Very High;U94-1;X
1285008;Chief of Army;Seyni Kountché;1985;2012;2012;FA;Guns and Butter Doctrine;Very High;U94-1;X
1285009;Chief of Navy;Seyni Kountché;1985;2012;2012;FA;Base Control Doctrine;Very High;U94-1;X
1285010;Chief of Air Force;Seyni Kountché;1985;2012;2012;FA;Vertical Envelopment Doctrine;Very High;U94-1;X
;Replacements;;;;;;;;;X
