EGY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
340001;Head of State;Hosni Mubarak;1985;2012;2012;PA;Weary Stiffneck;Very High;EGY1;X
340002;Head of Government;Kamal Hassan;1985;2012;2012;PA;Old General;Very High;EGY2;X
340003;Foreign Minister;Hosni Mubarak;1985;2012;2012;PA;Great Compromiser;Very High;EGY1;X
340004;Minister of Armament;Hosni Mubarak;1985;2012;2012;PA;Infantry Proponent;Very High;EGY1;X
340005;Minister of Security;Hosni Mubarak;1985;2012;2012;PA;Silent Lawyer;Very High;EGY1;X
340006;Head of Military Intelligence;Hosni Mubarak;1985;2012;2012;PA;Dismal Enigma;Very High;EGY1;X
340007;Chief of Staff;Hosni Mubarak;1985;2012;2012;PA;School of Defence;Very High;EGY1;X
340008;Chief of Army;Hosni Mubarak;1985;2012;2012;PA;Static Defence Doctrine;Very High;EGY1;X
340009;Chief of Navy;Hosni Mubarak;1985;2012;2012;PA;Indirect Approach Doctrine;Very High;EGY1;X
340010;Chief of Air Force;Hosni Mubarak;1985;2012;2012;PA;Vertical Envelopment Doctrine;Very High;EGY1;X
