NIC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
315001;Head of State;Daniel Ortega;1985;2012;2012;LE;Die-hard Reformer;Very High;NIC1;X
315002;Head of Government;Daniel Ortega;1985;2012;2012;LE;Flamboyant Tough Guy;Very High;NIC1;X
315003;Foreign Minister;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
315004;Minister of Armament;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
315005;Minister of Security;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
315006;Head of Military Intelligence;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
315007;Chief of Staff;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
315008;Chief of Army;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
315009;Chief of Navy;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
315010;Chief of Air Force;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
315011;Head of State;Violeta Chamorro;1985;2012;2012;ML;Benevolent Gentleman;Very High;NIC2;X
315012;Head of Government;Violeta Chamorro;1985;2012;2012;ML;Naive Optimist;Very High;NIC2;X
315013;Foreign Minister;Blue Shadow;1985;2012;2012;ML;Generic;Very High;unknown;X
315014;Minister of Armament;Blue Shadow;1985;2012;2012;ML;Generic;Very High;unknown;X
315015;Minister of Security;Blue Shadow;1985;2012;2012;ML;Generic;Very High;unknown;X
315016;Head of Military Intelligence;Blue Shadow;1985;2012;2012;ML;Generic;Very High;unknown;X
315017;Chief of Staff;Blue Shadow;1985;2012;2012;ML;Generic;Very High;unknown;X
315018;Chief of Army;Blue Shadow;1985;2012;2012;ML;Generic;Very High;unknown;X
315019;Chief of Navy;Blue Shadow;1985;2012;2012;ML;Generic;Very High;unknown;X
315020;Chief of Air Force;Blue Shadow;1985;2012;2012;ML;Generic;Very High;unknown;X
