LBY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
495001;Head of State;Muammar al-Qaddafi;1985;2012;2012;LWR;Ruthless Powermonger;Very High;LBY1;X
495002;Head of Government;Muhammad az-Zaruq Rajab;1985;2012;2012;LWR;Happy Amateur;High;LBY2;X
495003;Foreign Minister;Ali Treki;1985;2012;2012;LWR;Apologetic Clerk;High;LBY3;X
495011;Foreign Minister;Moussa Koussa;1985;2012;2012;LWR;the cloak n dagger schemer;High;LBY4;X
495004;Minister of Armament;Abu-Bakr Yunis Jabr;1985;2012;2012;LWR;Military Entrepreneur;High;LBY5;X
495005;Minister of Security;Abdul Fatah Younis;1985;2012;2012;LWR;Crime Fighter;Medium;LBY6;X
495006;Head of Military Intelligence;Abdullah Senussi;1985;2012;2012;LWR;Technical Specialist;Very High;LBY7;X
495012;Head of Military Intelligence;Moussa Koussa;1985;2012;2012;LWR;Political Specialist;Very High;LBY4;X
495007;Chief of Staff;Abu-Bakr Yunis Jabr;1985;2012;2012;LWR;School of Mass Combat;High;LBY5;X
495008;Chief of Army;Abdul Fatah Younis;1985;2012;2012;LWR;Guns and Butter Doctrine;Medium;LBY6;X
495009;Chief of Navy;Abu-Bakr Yunis Jabr;1985;2012;2012;LWR;Indirect Approach Doctrine;High;LBY5;X
495010;Chief of Air Force;Ali Sharif al-Rifi;1985;2012;2012;LWR;Air Superiority Doctrine;High;unknown;X
