U88;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1255001;Head of State;Félix Houphouët-Boigny;1984;2012;2012;PA;Die-hard Reformer;Very High;U88-1;X
1255002;Head of Government;Félix Houphouët-Boigny;1984;2012;2012;PA;Backroom Backstabber;Very High;U88-1;X
1255003;Foreign Minister;Félix Houphouët-Boigny;1984;2012;2012;PA;Undistinguished Suit;Very High;U88-1;X
1255004;Minister of Armament;Félix Houphouët-Boigny;1984;2012;2012;PA;Undistinguished Suit;Very High;U88-1;X
1255005;Minister of Security;Félix Houphouët-Boigny;1984;2012;2012;PA;Undistinguished Suit;Very High;U88-1;X
1255006;Head of Military Intelligence;Félix Houphouët-Boigny;1984;2012;2012;PA;Undistinguished Suit;Very High;U88-1;X
1255007;Chief of Staff;Félix Houphouët-Boigny;1984;2012;2012;PA;Undistinguished Suit;Very High;U88-1;X
1255008;Chief of Army;Félix Houphouët-Boigny;1984;2012;2012;PA;Undistinguished Suit;Very High;U88-1;X
1255009;Chief of Navy;Félix Houphouët-Boigny;1984;2012;2012;PA;Undistinguished Suit;Very High;U88-1;X
1255010;Chief of Air Force;Félix Houphouët-Boigny;1984;2012;2012;PA;Undistinguished Suit;Very High;U88-1;X
1255011;Head of State;Laurent Gbagbo;1984;2012;2012;SD;Pig-headed Isolationist;Very High;U88-2;X
1255012;Head of Government;Laurent Gbagbo;1984;2012;2012;SD;Ambitious Union Boss;Very High;U88-2;X
1255013;Foreign Minister;Laurent Gbagbo;1984;2012;2012;SD;Undistinguished Suit;Very High;U88-2;X
1255014;Minister of Armament;Laurent Gbagbo;1984;2012;2012;SD;Undistinguished Suit;Very High;U88-2;X
1255015;Minister of Security;Laurent Gbagbo;1984;2012;2012;SD;Undistinguished Suit;Very High;U88-2;X
1255016;Head of Military Intelligence;Laurent Gbagbo;1984;2012;2012;SD;Undistinguished Suit;Very High;U88-2;X
1255017;Chief of Staff;Laurent Gbagbo;1984;2012;2012;SD;Undistinguished Suit;Very High;U88-2;X
1255018;Chief of Army;Laurent Gbagbo;1984;2012;2012;SD;Undistinguished Suit;Very High;U88-2;X
1255019;Chief of Navy;Laurent Gbagbo;1984;2012;2012;SD;Undistinguished Suit;Very High;U88-2;X
1255020;Chief of Air Force;Laurent Gbagbo;1984;2012;2012;SD;Undistinguished Suit;Very High;U88-2;X
