U11;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
870001;Head of State;HM Elizabeth II of Windsor;1985;2012;2012;SC;Popular Figurehead;Very High;UK1;X
870002;Head of Government;Kamisese Mara;1985;2012;2012;SC;Flamboyant Tough Guy;Very High;U11-1;X
870003;Foreign Minister;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
870004;Minister of Armament;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
870005;Minister of Security;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
870006;Head of Military Intelligence;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
870007;Chief of Staff;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
870008;Chief of Army;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
870009;Chief of Navy;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
870010;Chief of Air Force;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
870011;Head of State;Mahendra Chaudhry;1985;2012;2012;SD;Barking Buffoon;Very High;U11-2;X
870012;Head of Government;Mahendra Chaudhry;1985;2012;2012;SD;Ambitious Union Boss;Very High;U11-2;X
870013;Foreign Minister;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
870014;Minister of Armament;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
870015;Minister of Security;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
870016;Head of Military Intelligence;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
870017;Chief of Staff;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
870018;Chief of Army;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
870019;Chief of Navy;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
870020;Chief of Air Force;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
