KAZ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
485001;Head of State;Nursultan Nazarbayev;1985;2012;2012;PA;Stern Imperialist;Very High;KAZ1;X
485002;Head of Government;Nurlan Balgimbayev;1985;2012;2012;PA;Smiling Oilman;Very High;KAZ2;X
485003;Foreign Minister;Kassym-Jomart Tokayev;1985;2012;2012;PA;Iron Fisted Brute;Very High;KAZ3;X
485004;Minister of Armament;Nurlan Balgimbayev;1985;2012;2012;PA;Resource Industrialist;Very High;KAZ2;X
485005;Minister of Security;Seilbek Altynbekov;1985;2012;2012;PA;Back Stabber;Very High;unknown;X
485006;Head of Military Intelligence;Daniyal Akhmetov;1985;2012;2012;PA;Logistics Specialist;Very High;unknown;X
485007;Chief of Staff;Sagadat Nurmagambetov;1985;2012;2012;PA;school of manoeuvre;Very High;KAZ4;X
485008;Chief of Army;Sagadat Nurmagambetov;1985;2012;2012;PA;Guns and Butter Doctrine;Very High;KAZ4;X
485009;Chief of Navy;Sagadat Nurmagambetov;1985;2012;2012;PA;Indirect Approach Doctrine;Very High;KAZ4;X
485010;Chief of Air Force;Sagadat Nurmagambetov;1985;2012;2012;PA;Army Aviation Doctrine;Very High;KAZ4;X
;Replacements;;;;;;;;;X
