U82;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1225001;Head of State;André Kolingba;1985;2012;2012;FA;Autocratic Charmer;Very High;U82-1;X
1225002;Head of Government;André Kolingba;1985;2012;2012;FA;Old General;Very High;U82-1;X
1225003;Foreign Minister;André Kolingba;1985;2012;2012;FA;General Staffer;Very High;U82-1;X
1225004;Minister of Armament;André Kolingba;1985;2012;2012;FA;Resource Industrialist;Very High;U82-1;X
1225005;Minister of Security;André Kolingba;1985;2012;2012;FA;Crime Fighter;Very High;U82-1;X
1225006;Head of Military Intelligence;André Kolingba;1985;2012;2012;FA;Dismal Enigma;Very High;U82-1;X
1225007;Chief of Staff;André Kolingba;1985;2012;2012;FA;School of Mass Combat;Very High;U82-1;X
1225008;Chief of Army;André Kolingba;1985;2012;2012;FA;Guns and Butter Doctrine;Very High;U82-1;X
1225009;Chief of Navy;André Kolingba;1985;2012;2012;FA;Base Control Doctrine;Very High;U82-1;X
1225010;Chief of Air Force;André Kolingba;1985;2012;2012;FA;Carpet Bombing Doctrine;Very High;U82-1;X
;Replacements;;;;;;;;;X
