U80;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1215001;Head of State;Hassan Gouled Aptidon;1985;2012;2012;SD;Autocratic Charmer;Very High;U80-1;X
1215002;Head of Government;Barkat Gourad Hamadou;1985;2012;2012;SD;Political Protege;Very High;U80-2;X
1215003;Foreign Minister;Hassan Gouled Aptidon;1985;2012;2012;SD;Great Compromiser;Very High;U80-1;X
1215004;Minister of Armament;Hassan Gouled Aptidon;1985;2012;2012;SD;Military Entrepreneur;Very High;U80-1;X
1215005;Minister of Security;Hassan Gouled Aptidon;1985;2012;2012;SD;Silent Lawyer;Very High;U80-1;X
1215006;Head of Military Intelligence;Hassan Gouled Aptidon;1985;2012;2012;SD;Political Specialist;Very High;U80-1;X
1215007;Chief of Staff;Hassan Gouled Aptidon;1985;2012;2012;SD;School of Defence;Very High;U80-1;X
1215008;Chief of Army;Hassan Gouled Aptidon;1985;2012;2012;SD;Static Defence Doctrine;Very High;U80-1;X
1215009;Chief of Navy;Hassan Gouled Aptidon;1985;2012;2012;SD;Base Control Doctrine;Very High;U80-1;X
1215010;Chief of Air Force;Hassan Gouled Aptidon;1985;2012;2012;SD;Army Aviation Doctrine;Very High;U80-1;X
;Replacements;;;;;;;;;X
