U46;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1045001;Head of State;João Bernardo Vieira;1984;2012;2012;LWR;Resigned Generalissimo;Very High;U46-1;X
1045002;Head of Government;João Bernardo Vieira;1984;2012;2012;LWR;Ambitious Union Boss;Very High;U46-1;X
1045003;Foreign Minister;João Bernardo Vieira;1984;2012;2012;LWR;Iron Fisted Brute;Very High;U46-1;X
1045004;Minister of Armament;João Bernardo Vieira;1984;2012;2012;LWR;Laissez-Faire Capitalist;Very High;U46-1;X
1045005;Minister of Security;João Bernardo Vieira;1984;2012;2012;LWR;Efficient Sociopath;Very High;U46-1;X
1045006;Head of Military Intelligence;João Bernardo Vieira;1984;2012;2012;LWR;Industrial Specialist;Very High;U46-1;X
1045007;Chief of Staff;João Bernardo Vieira;1984;2012;2012;LWR;School of Fire Support;Very High;U46-1;X
1045008;Chief of Army;João Bernardo Vieira;1984;2012;2012;LWR;Decisive Battle Doctrine;Very High;U46-1;X
1045009;Chief of Navy;João Bernardo Vieira;1984;2012;2012;LWR;Decisive Naval Battle Doctrine;Very High;U46-1;X
1045010;Chief of Air Force;João Bernardo Vieira;1984;2012;2012;LWR;Air Superiority Doctrine;Very High;U46-1;X
1045011;Foreign Minister;João Bernardo Vieira;1984;2012;2012;LWR;The Cloak N Dagger Schemer;Very High;U46-1;X
