U43;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1030001;Head of State;Ali Nasir Muhammad;1984;2012;2012;LE;Pig-headed Isolationist;High;U43-1;X
1030002;Head of Government;Haidar Abu Bakr al-Attas;1984;2012;2012;LE;Flamboyant Tough Guy;High;U43-2;X
1030003;Foreign Minister;Ali Nasir Muhammad;1984;2012;2012;LE;The Cloak N Dagger Schemer;High;U43-1;X
1030004;Minister of Armament;Ali Nasir Muhammad;1984;2012;2012;LE;Administrative Genius;High;U43-1;X
1030005;Minister of Security;Ali Nasir Muhammad;1984;2012;2012;LE;Efficient Sociopath;High;U43-1;X
1030006;Head of Military Intelligence;Ali Nasir Muhammad;1984;2012;2012;LE;Political Specialist;High;U43-1;X
1030007;Chief of Staff;Ali Nasir Muhammad;1984;2012;2012;LE;School of Defence;High;U43-1;X
1030008;Chief of Army;Ali Nasir Muhammad;1984;2012;2012;LE;Static Defence Doctrine;High;U43-1;X
1030009;Chief of Navy;Ali Nasir Muhammad;1984;2012;2012;LE;Decisive Naval Battle Doctrine;High;U43-1;X
1030010;Chief of Air Force;Ali Nasir Muhammad;1984;2012;2012;LE;Air Superiority Doctrine;High;U43-1;X
