SCO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
760001;Head of State;Winnie Ewing;1985;2012;2012;SD;Popular Figurehead;High;SCO1;X
760002;Head of Government;Alex Salmond;1985;2012;2012;SD;Ambitious Union Boss;High;SCO2;X
760003;Foreign Minister;George Reid;1985;2012;2012;SD;Great Compromiser;High;SCO3;X
760004;Minister of Armament;Jim Sillars;1985;2012;2012;SD;Military Entrepreneur;Medium;SCO4;X
760005;Minister of Security;Michael Russell;1985;2012;2012;SD;Crime Fighter;Medium;SCO5;X
760006;Head of Military Intelligence;Alasdair Morgan;1985;2012;2012;SD;Technical Specialist;Medium;unknown;X
760007;Chief of Staff;SDF General Staff;1985;2012;2012;ML;School of Fire Support;Medium;unknown;X
760008;Chief of Army;SDF General Staff;1985;2012;2012;ML;Decisive Battle Doctrine;Medium;unknown;X
760009;Chief of Navy;SDF General Staff;1985;2012;2012;ML;Indirect Approach Doctrine;Medium;unknown;X
760010;Chief of Air Force;SDF General Staff;1985;2012;2012;ML;Air Superiority Doctrine;Medium;unknown;X
;Replacements;;;;;;;;;X
760011;Head of State;Charles III Lord Walgrave;1985;2012;2012;PA;Benevolent Gentleman;High;M561011;X
760012;Head of State;Henry McGrew;1985;2012;2012;LWR;Die-hard Reformer;High;M561012;X
760013;Head of Government;James Duke of Abercorn;1985;2012;2012;PA;Backroom Backstabber;High;M561013;X
760014;Head of Government;Ignatius R. Dunnachie;1985;2012;2012;LWR;Happy Amateur;High;M561014;X
760015;Foreign Minister;Charles Duke of Gordon;1985;2012;2012;PA;General Staffer;High;M561015;X
760016;Foreign Minister;Donald Cardross Erskine;1985;2012;2012;LWR;Iron Fisted Brute;High;M561016;X
760017;Minister of Armament;Ian Campbell Gray;1985;2012;2012;PA;Resource Industrialist;Medium;M561017;X
760018;Minister of Armament;Peter Drummond MacDonald;1985;2012;2012;LWR;Military Entrepreneur;Medium;M561018;X
760019;Minister of Security;Charles Earl Breadalbane;1985;2012;2012;PA;Man of the People;Medium;M561019;X
760020;Minister of Security;Malcolm MacDonald;1985;2012;2012;LWR;Compassionate Gentleman;Medium;M561020;X
760021;Head of Military Intelligence;Charles Earl of Southesk;1985;2012;2012;PA;Logistics Specialist;Medium;M561021;X
760022;Head of Military Intelligence;Marie Carmichael Stopes;1985;2012;2012;LWR;Technical Specialist;Medium;M561022;X
760023;Chief of Staff;Harold Franklyn;1985;2012;2012;PA;School of Defence;Medium;L1127;X
760024;Chief of Staff;Richard McCreery;1985;2012;2012;LWR;School of Manoeuvre;Medium;L1216;X
760025;Chief of Army;Andrew McCulloch;1985;2012;2012;PA;Static Defence Doctrine;Medium;L1217;X
760026;Chief of Army;W.M. St.George Kirke;1985;2012;2012;LWR;Decisive Battle Doctrine;Medium;L1181;X
760027;Chief of Navy;Geoffrey Layton;1985;2012;2012;PA;Decisive Naval Battle Doctrine;Medium;L1364;X
760028;Chief of Navy;Anthony Stokes;1985;2012;2012;LWR;Indirect Approach Doctrine;Medium;L1391;X
760029;Chief of Air Force;Perry Keene;1985;2012;2012;PA;Naval Aviation Doctrine;Medium;L1453;X
760030;Chief of Air Force;P.S. Sholto-Douglas;1985;2012;2012;LWR;Carpet Bombing Doctrine;Medium;L1479;X
760031;Minister of Armament;George Buchanan;1985;2012;2012;SL;Resource Industrialist;High;M561031;X
760032;Chief of Air Force;Sir Hugh Dowding;1985;2012;2012;ML;Air Superiority Doctrine;High;L1435;X
760033;Foreign Minister;William Gallacher;1985;2012;2012;LWR;Ideological Crusader;High;M561033;X
760034;Minister of Security;James Moxton;1985;2012;2012;SD;Silent Lawyer;High;M561034;X
760035;Minister of Security;David Maxwell Fyfe;1985;2012;2012;ML;Compassionate Gentleman;High;M1085;X
760036;Foreign Minister;Archibald Ramsay;1985;2012;2012;FA;Iron Fisted Brute;Medium;M1054;X
760037;Foreign Minister;Douglas Duke of Hamilton;1985;2012;2012;PA;The Cloak N Dagger Schemer;High;M561037;X
760038;Chief of Staff;Walter Montagu Douglas Scott;1985;2012;2012;FA;School of Defence;High;6078;x
