HAI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
350001;Head of State;Jean-Claude 'Baby Doc' Duvalier;1985;2012;2012;PA;Insignificant Layman;Very High;HAI1;X
350002;Head of Government;Jean-Claude 'Baby Doc' Duvalier;1985;2012;2012;PA;Corporate Suit;Very High;HAI1;X
350003;Foreign Minister;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350004;Minister of Armament;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350005;Minister of Security;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350006;Head of Military Intelligence;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350007;Chief of Staff;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350008;Chief of Army;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350009;Chief of Navy;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350010;Chief of Air Force;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350011;Head of State;Henri Namphy;1985;2012;2012;PA;Resigned Generalissimo;Very High;HAI2;X
350012;Head of Government;Henri Namphy;1985;2012;2012;PA;Old General;Very High;HAI2;X
350013;Foreign Minister;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350014;Minister of Armament;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350015;Minister of Security;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350016;Head of Military Intelligence;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350017;Chief of Staff;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350018;Chief of Army;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350019;Chief of Navy;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350020;Chief of Air Force;?;1985;2012;2012;PA;Generic;Very High;unknown;X
350021;Head of State;PUCH Central Committee;1985;2012;2012;LE;Insignificant Layman;Very High;HAI3;X
350022;Head of Government;PUCH Central Committee;1985;2012;2012;LE;Happy Amateur;Very High;HAI3;X
350023;Foreign Minister;?;1985;2012;2012;LE;Generic;Very High;unknown;X
350024;Minister of Armament;?;1985;2012;2012;LE;Generic;Very High;unknown;X
350025;Minister of Security;?;1985;2012;2012;LE;Generic;Very High;unknown;X
350026;Head of Military Intelligence;?;1985;2012;2012;LE;Generic;Very High;unknown;X
350027;Chief of Staff;?;1985;2012;2012;LE;Generic;Very High;unknown;X
350028;Chief of Army;?;1985;2012;2012;LE;Generic;Very High;unknown;X
350029;Chief of Navy;?;1985;2012;2012;LE;Generic;Very High;unknown;X
350030;Chief of Air Force;?;1985;2012;2012;LE;Generic;Very High;unknown;X
