UBO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
79601;Head of State;HM Elizabeth II;1914;1964;2012;SC;Popular Figurehead;High;UK1;X
79602;Head of Government;Manuel Esquivel;1914;1964;2012;SC;Naive Optimist;High;UB01;X
79603;Foreign Minister;?;1914;1964;2012;SC;Generic;High;unknown;X
79604;Minister of Armament;?;1914;1964;2012;SC;Generic;High;unknown;X
79605;Minister of Security;?;1914;1964;2012;SC;Generic;High;unknown;X
79606;Head of Military Intelligence;?;1914;1964;2012;SC;Generic;High;unknown;X
79607;Chief of Staff;?;1914;1964;2012;SC;Generic;High;unknown;X
79608;Chief of Army;?;1914;1964;2012;SC;Generic;High;unknown;X
79609;Chief of Navy;?;1914;1964;2012;SC;Generic;High;unknown;X
79610;Chief of Air Force;?;1914;1964;2012;SC;Generic;High;unknown;X
