U96;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1295001;Head of State;Abdou Diouf;1984;2012;2012;SD;Benevolent Gentleman;Very High;U96-1;X
1295002;Head of Government;Abdou Diouf;1984;2012;2012;SD;Ambitious Union Boss;Very High;U96-1;X
1295003;Foreign Minister;Abdou Diouf;1984;2012;2012;SD;Undistinguished Suit;Very High;U96-1;X
1295004;Minister of Armament;Abdou Diouf;1984;2012;2012;SD;Undistinguished Suit;Very High;U96-1;X
1295005;Minister of Security;Abdou Diouf;1984;2012;2012;SD;Undistinguished Suit;Very High;U96-1;X
1295006;Head of Military Intelligence;Abdou Diouf;1984;2012;2012;SD;Undistinguished Suit;Very High;U96-1;X
1295007;Chief of Staff;Abdou Diouf;1984;2012;2012;SD;Undistinguished Suit;Very High;U96-1;X
1295008;Chief of Army;Abdou Diouf;1984;2012;2012;SD;Undistinguished Suit;Very High;U96-1;X
1295009;Chief of Navy;Abdou Diouf;1984;2012;2012;SD;Undistinguished Suit;Very High;U96-1;X
1295010;Chief of Air Force;Abdou Diouf;1984;2012;2012;SD;Undistinguished Suit;Very High;U96-1;X
