U13;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
880001;Head of State;Ati George Sokomanu;1985;2012;2012;SD;Popular Figurehead;Very High;U13-1;X
880002;Head of Government;Walter Lini;1985;2012;2012;LWR;Flamboyant Tough Guy;Very High;U13-2;X
880003;Foreign Minister;Red Shadow;1985;2012;2012;LWR;Generic;Very High;unknown;X
880004;Minister of Armament;Red Shadow;1985;2012;2012;LWR;Generic;Very High;unknown;X
880005;Minister of Security;Red Shadow;1985;2012;2012;LWR;Generic;Very High;unknown;X
880006;Head of Military Intelligence;Red Shadow;1985;2012;2012;LWR;Generic;Very High;unknown;X
880007;Chief of Staff;Red Shadow;1985;2012;2012;LWR;Generic;Very High;unknown;X
880008;Chief of Army;Red Shadow;1985;2012;2012;LWR;Generic;Very High;unknown;X
880009;Chief of Navy;Red Shadow;1985;2012;2012;LWR;Generic;Very High;unknown;X
880010;Chief of Air Force;Red Shadow;1985;2012;2012;LWR;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
