USN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
63401;Head of State;Michael Harrington;1985;1989;2012;LE;Benevolent Gentleman;Very High;USN1;X
63402;Head of Government;Michael Harrington;1985;1989;2012;LE;Silent Workhorse;Very High;USN1;X
63403;Foreign Minister;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
63404;Minister of Armament;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
63405;Minister of Security;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
63406;Head of Military Intelligence;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
63407;Chief of Staff;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
63408;Chief of Army;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
63409;Chief of Navy;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
63410;Chief of Air Force;Red Shadow;1985;2012;2012;LE;Generic;Very High;unknown;X
