U91;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1270001;Head of State;HH Jaber III;1980;2012;2012;FA;Weary Stiffneck;Very High;U91-1;X
1270002;Head of Government;HH Saad Al-Abdullah Al-Salim Al-Sabah;1980;2012;2012;FA;Smiling Oilman;Very High;U91-2;X
1270003;Foreign Minister;HH Saad Al-Abdullah Al-Salim Al-Sabah;1980;2012;2012;FA;Undistinguished Suit;Very High;U91-2;X
1270004;Minister of Armament;HH Jaber III;1980;2012;2012;FA;Resource Industrialist;Very High;U91-1;X
1270005;Minister of Security;HH Saad Al-Abdullah Al-Salim Al-Sabah;1980;2012;2012;FA;Undistinguished Suit;Very High;U91-2;X
1270006;Head of Military Intelligence;HH Saad Al-Abdullah Al-Salim Al-Sabah;1980;2012;2012;FA;Political Specialist;Very High;U91-2;X
1270007;Chief of Staff;HH Saad Al-Abdullah Al-Salim Al-Sabah;1980;2012;2012;FA;School of Mass Combat;Very High;U91-2;X
1270008;Chief of Army;HH Jaber III;1980;2012;2012;FA;Guns and Butter Doctrine;Very High;U91-1;X
1270009;Chief of Navy;HH Jaber III;1980;2012;2012;FA;Open Seas Doctrine;Very High;U91-1;X
1270010;Chief of Air Force;HH Jaber III;1980;2012;2012;FA;Army Aviation Doctrine;Very High;U91-1;X
