U06;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
845001;Head of State;HM Elizabeth II of Windsor;1985;2012;2012;SC;Popular Figurehead;High;UK1;X
845002;Head of Government;Michael Somare;1985;2012;2012;SC;Flamboyant Tough Guy;High;U06-1;X
845003;Foreign Minister;Blue Shadow;1985;2012;2012;SC;Generic;High;unknown;X
845004;Minister of Armament;Blue Shadow;1985;2012;2012;SC;Generic;High;unknown;X
845005;Minister of Security;Blue Shadow;1985;2012;2012;SC;Generic;High;unknown;X
845006;Head of Military Intelligence;Blue Shadow;1985;2012;2012;SC;Generic;High;unknown;X
845007;Chief of Staff;Blue Shadow;1985;2012;2012;SC;Generic;High;unknown;X
845008;Chief of Army;Blue Shadow;1985;2012;2012;SC;Generic;High;unknown;X
845009;Chief of Navy;Blue Shadow;1985;2012;2012;SC;Generic;High;unknown;X
845010;Chief of Air Force;Blue Shadow;1985;2012;2012;SC;Generic;High;unknown;X
;Replacements;;;;;;;;;X
845011;Head of State;Red Shadow;1985;2012;2012;ST;Generic;High;unknown;X
845012;Head of Government;Red Shadow;1985;2012;2012;ST;Generic;High;unknown;X
845013;Foreign Minister;Red Shadow;1985;2012;2012;ST;Generic;High;unknown;X
845014;Minister of Armament;Red Shadow;1985;2012;2012;ST;Generic;High;unknown;X
845015;Minister of Security;Red Shadow;1985;2012;2012;ST;Generic;High;unknown;
845016;Head of Military Intelligence;Red Shadow;1985;2012;2012;ST;Generic;High;unknown;
845017;Chief of Staff;Red Shadow;1985;2012;2012;ST;Generic;High;unknown;X
845018;Chief of Army;Red Shadow;1985;2012;2012;ST;Generic;High;unknown;X
845019;Chief of Navy;Red Shadow;1985;2012;2012;ST;Generic;High;unknown;X
845020;Chief of Air Force;Red Shadow;1985;2012;2012;ST;Generic;High;unknown;X
845021;Head of State;Black Shadow;1985;2012;2012;NS;Generic;High;unknown;X
845022;Head of Government;Black Shadow;1985;2012;2012;NS;Generic;High;unknown;X
845023;Foreign Minister;Black Shadow;1985;2012;2012;NS;Generic;High;unknown;X
845024;Minister of Armament;Black Shadow;1985;2012;2012;NS;Generic;High;unknown;X
845025;Minister of Security;Black Shadow;1985;2012;2012;NS;Generic;High;unknown;X
845026;Head of Military Intelligence;Black Shadow;1985;2012;2012;NS;Generic;High;unknown;X
845027;Chief of Staff;Black Shadow;1985;2012;2012;NS;Generic;High;unknown;X
845028;Chief of Army;Black Shadow;1985;2012;2012;NS;Generic;High;unknown;X
845029;Chief of Navy;Black Shadow;1985;2012;2012;NS;Generic;High;unknown;X
845030;Chief of Air Force;Black Shadow;1985;2012;2012;NS;Generic;High;unknown;X
