U39;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1010001;Head of State;Georges Glineur;1985;2012;2012;LE;Popular Figurehead;Very High;BEL6;X
1010002;Head of Government;Louis Van Geyt;1985;2012;2012;LE;Silent Workhorse;Very High;BEL7;X
1010003;Foreign Minister;Marcel Levaux;1985;2012;2012;LE;Biased Intellectual;Very High;BEL8;X
1010004;Minister of Armament;Marcel Couteau;1985;2012;2012;LE;Resource Industrialist;Very High;unknown;X
1010005;Minister of Security;Louis Van Geyt;1985;2012;2012;LE;Compassionate Gentleman;Very High;BEL7;X
1010006;Head of Military Intelligence;Marcel Couteau;1985;2012;2012;LE;Industrial Specialist;Very High;unknown;X
1010007;Chief of Staff;Jean Blume;1985;2012;2012;LE;School of Mass Combat;Very High;BEL9;X
1010008;Chief of Army;Jean Blume;1985;2012;2012;LE;Guns and Butter Doctrine;Very High;BEL9;X
1010009;Chief of Navy;Jean Blume;1985;2012;2012;LE;Indirect Approach Doctrine;Very High;BEL9;X
1010010;Chief of Air Force;Jean Blume;1985;2012;2012;LE;Army Aviation Doctrine;Very High;BEL9;X
;Replacements;;;;;;;;;X
