U34;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
985001;Head of State;Ismail Cem;1985;2012;2012;SD;Popular Figurehead;Very High;TUR11;X
985002;Head of Government;Mustafa Bülent Ecevit;1985;2012;2012;SD;Ambitious Union Boss;Very High;TUR12;X
985003;Foreign Minister;Sükrü Sina Gürel;1985;2012;2012;SD;Biased Intellectual;Very High;TUR13;X
985004;Minister of Armament;Erol Cevikce;1985;2012;2012;SD;Administrative Genius;Very High;TUR14;X
985005;Minister of Security;Deniz Baykal;1985;2012;2012;SD;Crime Fighter;Very High;TUR15;X
985006;Head of Military Intelligence;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
985007;Chief of Staff;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
985008;Chief of Army;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
985009;Chief of Navy;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
985010;Chief of Air Force;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
