GER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1;Head of State;Michael Kühnen;1985;2012;2012;NS;PowerHungry Demagogue;Very High;GER1;X
2;Head of Government;Michael Kühnen;1985;2012;2012;NS;Flamboyant Tough Guy;Very High;GER1;X
3;Foreign Minister;Friedhelm Busse;1985;2012;2012;NS;Ideological Crusader;Very High;GER2;X
4;Minister of Armament;Jürgen Rieger;1985;2012;2012;NS;Administrative Genius;Very High;GER3;X
5;Minister of Security;Christian Worch;1985;2012;2012;NS;Prince of Terror;Very High;GER4;X
6;Head of Military Intelligence;Otto Ernst Remer;1985;2012;2012;NS;Dismal Enigma;Very High;GER5;X
7;Chief of Staff;Udo Voigt;1985;2012;2012;NS;School of Fire Support;Very High;GER6;X
8;Chief of Army;Otto Riehs;1985;2012;2012;NS;Guns and Butter Doctrine;Very High;GER7;X
9;Chief of Navy;Ernst Thomsen;1985;2012;2012;NS;Indirect Approach Doctrine;Very High;unknown;X
10;Chief of Air Force;Udo Voigt;1985;2012;2012;NS;Air Superiority Doctrine;Very High;GER6;X
;Replacements;;;;;;;;;X
