PAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
405001;Head of State;Manuel Noriega;1985;2012;2012;FA;Autocratic Charmer;Very High;PAN1;X
405002;Head of Government;Manuel Noriega;1985;2012;2012;FA;Old General;Very High;PAN1;X
405003;Foreign Minister;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
405004;Minister of Armament;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
405005;Minister of Security;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
405006;Head of Military Intelligence;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
405007;Chief of Staff;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
405008;Chief of Army;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
405009;Chief of Navy;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
405010;Chief of Air Force;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
