GUA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
305001;Head of State;Óscar Humberto Mejía Victores;1985;2012;2012;FA;Resigned Generalissimo;Very High;GUA1;X
305002;Head of Government;Óscar Humberto Mejía Victores;1985;2012;2012;FA;Old General;Very High;GUA1;X
305003;Foreign Minister;?;1985;2012;2012;FA;Generic;Very High;unknown;X
305004;Minister of Armament;?;1985;2012;2012;FA;Generic;Very High;unknown;X
305005;Minister of Security;?;1985;2012;2012;FA;Generic;Very High;unknown;X
305006;Head of Military Intelligence;?;1985;2012;2012;FA;Generic;Very High;unknown;X
305007;Chief of Staff;?;1985;2012;2012;FA;Generic;Very High;unknown;X
305008;Chief of Army;?;1985;2012;2012;FA;Generic;Very High;unknown;X
305009;Chief of Navy;?;1985;2012;2012;FA;Generic;Very High;unknown;X
305010;Chief of Air Force;?;1985;2012;2012;FA;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
305011;Head of State;Ricardo Arnoldo Ramírez de León;1985;2012;2012;LE;Die-hard Reformer;Very High;GUA2;X
305012;Head of Government;Ricardo Arnoldo Ramírez de León;1985;2012;2012;LE;Ambitious Union Boss;Very High;GUA2;X
305013;Foreign Minister;?;1985;2012;2012;LE;Generic;Very High;unknown;X
305014;Minister of Armament;?;1985;2012;2012;LE;Generic;Very High;unknown;X
305015;Minister of Security;?;1985;2012;2012;LE;Generic;Very High;unknown;X
305016;Head of Military Intelligence;?;1985;2012;2012;LE;Generic;Very High;unknown;X
305017;Chief of Staff;?;1985;2012;2012;LE;Generic;Very High;unknown;X
305018;Chief of Army;?;1985;2012;2012;LE;Generic;Very High;unknown;X
305019;Chief of Navy;?;1985;2012;2012;LE;Generic;Very High;unknown;X
305020;Chief of Air Force;?;1985;2012;2012;LE;Generic;Very High;unknown;X
