U51;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1070001;Head of State;HH Khalifa bin Hamad Al Thani;1984;2012;2012;FA;Weary Stiffneck;Very High;U51-1;X
1070002;Head of Government;HH Khalifa bin Hamad Al Thani;1984;2012;2012;FA;Naive Optimist;Very High;U51-1;X
1070003;Foreign Minister;Ahmed bin Saif Al Thani;1984;2012;2012;FA;Apologetic Clerk;Very High;unknown;X
1070004;Minister of Armament;Hamad bin Jassim bin Hamad Al Thani;1984;2012;2012;FA;Laissez-Faire Capitalist;Very High;unknown;X
1070005;Minister of Security;HH Khalifa bin Hamad Al Thani;1984;2012;2012;FA;Back Stabber;Very High;U51-2;X
1070006;Head of Military Intelligence;HH Hamad bin Khalifa Al Thani;1984;2012;2012;FA;Logistics Specialist;Very High;U51-2;X
1070007;Chief of Staff;HH Hamad bin Khalifa Al Thani;1984;2012;2012;FA;School of Fire Support;Very High;U51-2;X
1070008;Chief of Army;Abdullah bin Khalifa Al Thani;1984;2012;2012;FA;Guns and Butter Doctrine;Very High;unknown;X
1070009;Chief of Navy;HH Hamad bin Khalifa Al Thani;1984;2012;2012;FA;Indirect Approach Doctrine;Very High;U51-2;X
1070010;Chief of Air Force;HH Hamad bin Khalifa Al Thani;1984;2012;2012;FA;Air Superiority Doctrine;Very High;U51-2;X
