U30;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
965001;Head of State;Ion Iliescu;1985;2012;2012;SD;Popular Figurehead;High;ROM9;X
965002;Head of Government;Petre Roman;1985;2012;2012;SD;Happy Amateur;High;ROM11;X
965003;Foreign Minister;Blue Shadow;1985;2012;2012;ML;Generic;High;unknown;X
965004;Minister of Armament;Blue Shadow;1985;2012;2012;ML;Generic;High;unknown;X
965005;Minister of Security;Blue Shadow;1985;2012;2012;ML;Generic;High;unknown;
965006;Head of Military Intelligence;Blue Shadow;1985;2012;2012;ML;Generic;High;unknown;
965007;Chief of Staff;Blue Shadow;1985;2012;2012;ML;Generic;High;unknown;X
965008;Chief of Army;Nicolae Militaru;1985;2012;2012;SD;Generic;High;ROM10;X
965009;Chief of Navy;Blue Shadow;1985;2012;2012;ML;Generic;High;unknown;X
965010;Chief of Air Force;Blue Shadow;1985;2012;2012;ML;Generic;High;unknown;X
