U12;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
875001;Head of State;Tony Benn;1985;2012;2012;SD;Popular Figurehead;Very High;U12-1;X
875002;Head of Government;Ken Livingstone;1985;2012;2012;LWR;Ambitious Union Boss;Very High;U12-2;X
875003;Foreign Minister;George Galloway;1985;2012;2012;LWR;Ideological Crusader;Very High;U12-3;X
875004;Minister of Armament;John McDonnell;1985;2012;2012;SD;Administrative Genius;Very High;U12-4;X
875005;Minister of Security;Fergus Nicholson;1985;2012;2012;LE;Back Stabber;Very High;unknown;X
875006;Head of Military Intelligence;Fergus Nicholson;1985;2012;2012;LE;Political Specialist;Very High;unknown;X
875007;Chief of Staff;National Defence Council;1985;2012;2012;LWR;School of Defence;Very High;unknown;X
875008;Chief of Army;National Defence Council;1985;2012;2012;LWR;Static Defence Doctrine;Very High;unknown;X
875009;Chief of Navy;National Defence Council;1985;2012;2012;LWR;Power Projection Doctrine;Very High;unknown;X
875010;Chief of Air Force;National Defence Council;1985;2012;2012;LWR;Air Superiority Doctrine;Very High;unknown;X
;Replacements;;;;;;;;;X
