UKR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
545001;Head of State;Leonid Kravchuk;1985;2012;2012;SD;Pig-headed Isolationist;Very High;UKR1;X
545002;Head of Government;Vitold Fokin;1985;2012;2012;SD;Happy Amateur;Very High;UKR2;X
545003;Foreign Minister;Anatoliy Zlenko;1985;2012;2012;ML;Great Compromiser;Very High;UKR3;X
545004;Minister of Armament;Anatoliy Hrytsenko;1985;2012;2012;ML;Air Superiority Proponent;Very High;UKR4;X
545005;Minister of Security;Yuriy Kravchenko;1985;2012;2012;ML;Crime Fighter;Very High;UKR5;X
545006;Head of Military Intelligence;Yevhen Marchuk;1985;2012;2012;SD;Political Specialist;Very High;UKR6;X
545007;Chief of Staff;Oleksandr Kuzmuk;1985;2012;2012;ML;School of Fire Support;Very High;UKR7;X
545008;Chief of Army;Oleksandr Kuzmuk;1985;2012;2012;ML;Armoured Spearhead Doctrine;Very High;UKR7;X
545009;Chief of Navy;Mykhailo Yezhel;1985;2012;2012;ML;Base Control Doctrine;Very High;UKR8;X
545010;Chief of Air Force;Mykhailo Yezhel;1985;2012;2012;ML;Naval Aviation Doctrine;Very High;UKR8;X
