U33;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
980001;Head of State;Charilaos Florakis;1985;1989;1989;ST;Old Communist;Very High;U33-1;X
980002;Head of Government;Charilaos Florakis;1985;1989;1989;ST;Flamboyant Tough Guy;Very High;U33-1;X
980003;Foreign Minister;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
980004;Minister of Armament;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
980005;Minister of Security;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
980006;Head of Military Intelligence;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
980007;Chief of Staff;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
980008;Chief of Army;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
980009;Chief of Navy;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
980010;Chief of Air Force;Red Shadow;1985;2012;2012;ST;Generic;Very High;unknown;X
980012;Head of State;Charilaos Florakis;1989;2012;2012;ST;Old Communist;Very High;U33-2;X
980013;Head of Government;Charilaos Florakis;1989;2012;2012;ST;Silent Workhorse;Very High;U33-2;X
