U09;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
860001;Head of State;HM Taufa'ahau Tupou IV;1985;2012;2012;PA;Popular Figurehead;Very High;U09-1;X
860002;Head of Government;HRH Fatafehi Tu'ipelehake;1985;2012;2012;PA;Flamboyant Tough Guy;Very High;U09-2;X
860003;Foreign Minister;Black Shadow;1985;2012;2012;PA;Generic;Very High;unknown;X
860004;Minister of Armament;Black Shadow;1985;2012;2012;PA;Generic;Very High;unknown;X
860005;Minister of Security;Black Shadow;1985;2012;2012;PA;Generic;Very High;unknown;X
860006;Head of Military Intelligence;Black Shadow;1985;2012;2012;PA;Generic;Very High;unknown;X
860007;Chief of Staff;Black Shadow;1985;2012;2012;PA;Generic;Very High;unknown;X
860008;Chief of Army;Black Shadow;1985;2012;2012;PA;Generic;Very High;unknown;X
860009;Chief of Navy;Black Shadow;1985;2012;2012;PA;Generic;Very High;unknown;X
860010;Chief of Air Force;Black Shadow;1985;2012;2012;PA;Generic;Very High;unknown;X
