KYG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
490001;Head of State;Askar Akayev;1985;2012;2012;SD;Autocratic Charmer;Very High;KYG1;X
490002;Head of Government;Askar Akayev;1985;2012;2012;SD;Happy Amateur;Very High;KYG1;X
490003;Foreign Minister;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
490004;Minister of Armament;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
490005;Minister of Security;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
490006;Head of Military Intelligence;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
490007;Chief of Staff;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
490008;Chief of Army;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
490009;Chief of Navy;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
490010;Chief of Air Force;Red Shadow;1985;2012;2012;SD;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
490011;Head of State;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
490012;Head of Government;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
490013;Foreign Minister;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
490014;Minister of Armament;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
490015;Minister of Security;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
490016;Head of Military Intelligence;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
490017;Chief of Staff;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
490018;Chief of Army;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
490019;Chief of Navy;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
490020;Chief of Air Force;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
490021;Head of State;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
490022;Head of Government;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
490023;Foreign Minister;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
490024;Minister of Armament;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
490025;Minister of Security;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
490026;Head of Military Intelligence;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
490027;Chief of Staff;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
490028;Chief of Army;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
490029;Chief of Navy;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
490030;Chief of Air Force;Black Shadow;1985;2012;2012;FA;Generic;Very High;unknown;X
