U16;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
895001;Head of State;HM Elizabeth II of Windsor;1985;2012;2012;SC;Popular Figurehead;Very High;UK1;X
895002;Head of Government;Peter Kenilorea;1985;2012;2012;SC;Silent Workhorse;Very High;U16-1;X
895003;Foreign Minister;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
895004;Minister of Armament;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
895005;Minister of Security;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
895006;Head of Military Intelligence;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
895007;Chief of Staff;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
895008;Chief of Army;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
895009;Chief of Navy;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
895010;Chief of Air Force;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
