EQA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
640001;Head of State;Teodoro Obiang Nguema Mbasogo;1984;2012;2012;FA;Ruthless Powermonger;High;EQA1;X
640002;Head of Government;Teodoro Obiang Nguema Mbasogo;1984;2012;2012;FA;Flamboyant Tough Guy;High;EQA1;X
640003;Foreign Minister;Teodoro Obiang Nguema Mbasogo;1984;2012;2012;FA;Apologetic Clerk;High;EQA1;X
640004;Minister of Armament;Teodoro Obiang Nguema Mbasogo;1984;2012;2012;FA;Theoretical Scientist;High;EQA1;X
640005;Minister of Security;Teodoro Obiang Nguema Mbasogo;1984;2012;2012;FA;Efficient Sociopath;High;EQA1;X
640006;Head of Military Intelligence;Teodoro Obiang Nguema Mbasogo;1984;2012;2012;FA;Industrial Specialist;High;EQA1;X
640007;Chief of Staff;Teodoro Obiang Nguema Mbasogo;1984;2012;2012;FA;School of Fire Support;High;EQA1;X
640008;Chief of Army;Teodoro Obiang Nguema Mbasogo;1984;2012;2012;FA;Armoured Spearhead Doctrine;High;EQA1;X
640009;Chief of Navy;Teodoro Obiang Nguema Mbasogo;1984;2012;2012;FA;Open Seas Doctrine;High;EQA1;X
640010;Chief of Air Force;Teodoro Obiang Nguema Mbasogo;1984;2012;2012;FA;Air Superiority Doctrine;High;EQA1;X
