UZB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
550001;Head of State;Islam Karimov;1985;2012;2012;FA;Ruthless Powermonger;Very High;UZB1;X
550002;Head of Government;Islam Karimov;1985;2012;2012;FA;Backroom Backstabber;Very High;UZB1;X
550003;Foreign Minister;?;1985;2012;2012;FA;Generic;Very High;unknown;X
550004;Minister of Armament;?;1985;2012;2012;FA;Generic;Very High;unknown;X
550005;Minister of Security;?;1985;2012;2012;FA;Generic;Very High;unknown;X
550006;Head of Military Intelligence;?;1985;2012;2012;FA;Generic;Very High;unknown;X
550007;Chief of Staff;?;1985;2012;2012;FA;Generic;Very High;unknown;X
550008;Chief of Army;?;1985;2012;2012;FA;Generic;Very High;unknown;X
550009;Chief of Navy;?;1985;2012;2012;FA;Generic;Very High;unknown;X
550010;Chief of Air Force;?;1985;2012;2012;FA;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
