HON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
355001;Head of State;Roberto Suazo Córdova;1985;2012;2012;SL;Barking Buffoon;Very High;HON1;X
355002;Head of Government;Roberto Suazo Córdova;1985;2012;2012;SL;Happy Amateur;Very High;HON1;X
355003;Foreign Minister;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
355004;Minister of Armament;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
355005;Minister of Security;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
355006;Head of Military Intelligence;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
355007;Chief of Staff;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
355008;Chief of Army;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
355009;Chief of Navy;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
355010;Chief of Air Force;Blue Shadow;1985;2012;2012;SL;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
