COS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
310001;Head of State;Luis Alberto Monge;1985;2012;2012;SD;Weary Stiffneck;Very High;COS1;X
310002;Head of Government;Luis Alberto Monge;1985;2012;2012;SD;Naive Optimist;Very High;COS1;X
310003;Foreign Minister;?;1985;2012;2012;SD;Generic;Very High;unknown;X
310004;Minister of Armament;?;1985;2012;2012;SD;Generic;Very High;unknown;X
310005;Minister of Security;?;1985;2012;2012;SD;Generic;Very High;unknown;X
310006;Head of Military Intelligence;?;1985;2012;2012;SD;Generic;Very High;unknown;X
310007;Chief of Staff;?;1985;2012;2012;SD;Generic;Very High;unknown;X
310008;Chief of Army;?;1985;2012;2012;SD;Generic;Very High;unknown;X
310009;Chief of Navy;?;1985;2012;2012;SD;Generic;Very High;unknown;X
310010;Chief of Air Force;?;1985;2012;2012;SD;Generic;Very High;unknown;X
310011;Chief of Air Force;?;1985;2012;2012;SD;Generic;Very High;unknown;X
