TRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
785001;Head of State;Milan Babic;1985;2012;2012;LWR;Popular Figurehead;Very High;TRA1;X
785002;Head of Government;Dusan Vjestica;1985;2012;2012;LWR;Silent Workhorse;Very High;unknown;X
785003;Foreign Minister;Milan Martic;1984;1984;1984;LWR;Great Compromiser;Very High;TRA2;X
785004;Minister of Armament;Milan Martic;1985;2012;2012;LWR;Infantry Proponent;Very High;TRA2;X
785005;Minister of Security;Milan Martic;1984;1984;1984;LWR;Back Stabber;Very High;TRA2;X
785006;Head of Military Intelligence;Milan Martic;1984;1984;1984;LWR;Dismal Enigma;Very High;TRA2;X
785007;Chief of Staff;Milan Martic;1985;2012;2012;LWR;School of Defence;Very High;TRA2;X
785008;Chief of Army;Milan Martic;1985;2012;2012;LWR;Decisive Battle Doctrine;Very High;TRA2;X
785009;Chief of Navy;Milan Martic;1985;2012;2012;LWR;Decisive Naval Battle Doctrine;Very High;TRA2;X
785010;Chief of Air Force;Milan Martic;1985;2012;2012;LWR;Army Aviation Doctrine;Very High;TRA2;X
;Replacements;;;;;;;;;X
